trial_id,seed,prior_alpha,prior_beta,prior_name,pass_rate,warmup_count,true_size,estimated_size,ci_lower,ci_upper,ci_width,true_in_ci,relative_error,bias,posterior_alpha,posterior_beta
0,0,2,1,"Beta(2,1)_current",0.01,10,10,14,8.00,23.00,15.00,true,0.400000,4.00,12.00,790.00
1,7919,2,1,"Beta(2,1)_current",0.01,10,10,10,6.00,17.00,11.00,true,0.000000,0.00,12.00,1090.00
2,15838,2,1,"Beta(2,1)_current",0.01,10,10,9,5.00,15.00,10.00,true,0.100000,-1.00,12.00,1211.00
3,23757,2,1,"Beta(2,1)_current",0.01,10,10,10,6.00,17.00,11.00,true,0.000000,0.00,12.00,1079.00
4,31676,2,1,"Beta(2,1)_current",0.01,10,10,6,3.00,11.00,8.00,true,0.400000,-4.00,12.00,1760.00
5,39595,2,1,"Beta(2,1)_current",0.01,10,10,11,7.00,19.00,12.00,true,0.100000,1.00,12.00,976.00
6,47514,2,1,"Beta(2,1)_current",0.01,10,10,9,5.00,15.00,10.00,true,0.100000,-1.00,12.00,1242.00
7,55433,2,1,"Beta(2,1)_current",0.01,10,10,7,4.00,12.00,8.00,true,0.300000,-3.00,12.00,1515.00
8,63352,2,1,"Beta(2,1)_current",0.01,10,10,12,7.00,20.00,13.00,true,0.200000,2.00,12.00,938.00
9,71271,2,1,"Beta(2,1)_current",0.01,10,10,12,7.00,20.00,13.00,true,0.200000,2.00,12.00,901.00
10,79190,2,1,"Beta(2,1)_current",0.01,10,10,8,5.00,14.00,9.00,true,0.200000,-2.00,12.00,1311.00
11,87109,2,1,"Beta(2,1)_current",0.01,10,10,15,9.00,25.00,16.00,true,0.500000,5.00,12.00,718.00
12,95028,2,1,"Beta(2,1)_current",0.01,10,10,8,5.00,14.00,9.00,true,0.200000,-2.00,12.00,1291.00
13,102947,2,1,"Beta(2,1)_current",0.01,10,10,9,5.00,16.00,11.00,true,0.100000,-1.00,12.00,1166.00
14,110866,2,1,"Beta(2,1)_current",0.01,10,10,10,6.00,16.00,10.00,true,0.000000,0.00,12.00,1138.00
15,118785,2,1,"Beta(2,1)_current",0.01,10,10,7,4.00,12.00,8.00,true,0.300000,-3.00,12.00,1590.00
16,126704,2,1,"Beta(2,1)_current",0.01,10,10,14,8.00,24.00,16.00,true,0.400000,4.00,12.00,764.00
17,134623,2,1,"Beta(2,1)_current",0.01,10,10,11,6.00,18.00,12.00,true,0.100000,1.00,12.00,1015.00
18,142542,2,1,"Beta(2,1)_current",0.01,10,10,7,4.00,12.00,8.00,true,0.300000,-3.00,12.00,1521.00
19,150461,2,1,"Beta(2,1)_current",0.01,10,10,10,6.00,17.00,11.00,true,0.000000,0.00,12.00,1076.00
20,158380,2,1,"Beta(2,1)_current",0.01,10,10,10,6.00,17.00,11.00,true,0.000000,0.00,12.00,1072.00
21,166299,2,1,"Beta(2,1)_current",0.01,10,10,8,5.00,14.00,9.00,true,0.200000,-2.00,12.00,1319.00
22,174218,2,1,"Beta(2,1)_current",0.01,10,10,23,14.00,38.00,24.00,false,1.300000,13.00,12.00,477.00
23,182137,2,1,"Beta(2,1)_current",0.01,10,10,12,7.00,20.00,13.00,true,0.200000,2.00,12.00,914.00
24,190056,2,1,"Beta(2,1)_current",0.01,10,10,13,7.00,21.00,14.00,true,0.300000,3.00,12.00,865.00
25,197975,2,1,"Beta(2,1)_current",0.01,10,10,12,7.00,19.00,12.00,true,0.200000,2.00,12.00,946.00
26,205894,2,1,"Beta(2,1)_current",0.01,10,10,11,6.00,19.00,13.00,true,0.100000,1.00,12.00,986.00
27,213813,2,1,"Beta(2,1)_current",0.01,10,10,6,4.00,11.00,7.00,true,0.400000,-4.00,12.00,1693.00
28,221732,2,1,"Beta(2,1)_current",0.01,10,10,17,10.00,28.00,18.00,true,0.700000,7.00,12.00,637.00
29,229651,2,1,"Beta(2,1)_current",0.01,10,10,13,7.00,21.00,14.00,true,0.300000,3.00,12.00,867.00
30,237570,2,1,"Beta(2,1)_current",0.01,10,10,10,6.00,18.00,12.00,true,0.000000,0.00,12.00,1050.00
31,245489,2,1,"Beta(2,1)_current",0.01,10,10,15,9.00,26.00,17.00,true,0.500000,5.00,12.00,702.00
32,253408,2,1,"Beta(2,1)_current",0.01,10,10,19,11.00,32.00,21.00,false,0.900000,9.00,12.00,571.00
33,261327,2,1,"Beta(2,1)_current",0.01,10,10,12,7.00,20.00,13.00,true,0.200000,2.00,12.00,915.00
34,269246,2,1,"Beta(2,1)_current",0.01,10,10,10,6.00,18.00,12.00,true,0.000000,0.00,12.00,1055.00
35,277165,2,1,"Beta(2,1)_current",0.01,10,10,13,8.00,22.00,14.00,true,0.300000,3.00,12.00,842.00
36,285084,2,1,"Beta(2,1)_current",0.01,10,10,9,5.00,16.00,11.00,true,0.100000,-1.00,12.00,1190.00
37,293003,2,1,"Beta(2,1)_current",0.01,10,10,17,10.00,28.00,18.00,true,0.700000,7.00,12.00,642.00
38,300922,2,1,"Beta(2,1)_current",0.01,10,10,6,3.00,11.00,8.00,true,0.400000,-4.00,12.00,1802.00
39,308841,2,1,"Beta(2,1)_current",0.01,10,10,12,7.00,20.00,13.00,true,0.200000,2.00,12.00,912.00
40,316760,2,1,"Beta(2,1)_current",0.01,10,10,18,11.00,30.00,19.00,false,0.800000,8.00,12.00,610.00
41,324679,2,1,"Beta(2,1)_current",0.01,10,10,9,5.00,15.00,10.00,true,0.100000,-1.00,12.00,1204.00
42,332598,2,1,"Beta(2,1)_current",0.01,10,10,9,5.00,15.00,10.00,true,0.100000,-1.00,12.00,1205.00
43,340517,2,1,"Beta(2,1)_current",0.01,10,10,11,6.00,19.00,13.00,true,0.100000,1.00,12.00,987.00
44,348436,2,1,"Beta(2,1)_current",0.01,10,10,9,5.00,16.00,11.00,true,0.100000,-1.00,12.00,1184.00
45,356355,2,1,"Beta(2,1)_current",0.01,10,10,8,5.00,14.00,9.00,true,0.200000,-2.00,12.00,1366.00
46,364274,2,1,"Beta(2,1)_current",0.01,10,10,14,9.00,24.00,15.00,true,0.400000,4.00,12.00,755.00
47,372193,2,1,"Beta(2,1)_current",0.01,10,10,9,5.00,15.00,10.00,true,0.100000,-1.00,12.00,1214.00
48,380112,2,1,"Beta(2,1)_current",0.01,10,10,21,13.00,35.00,22.00,false,1.100000,11.00,12.00,513.00
49,388031,2,1,"Beta(2,1)_current",0.01,10,10,15,9.00,26.00,17.00,true,0.500000,5.00,12.00,705.00
50,395950,2,1,"Beta(2,1)_current",0.01,10,10,14,8.00,24.00,16.00,true,0.400000,4.00,12.00,770.00
51,403869,2,1,"Beta(2,1)_current",0.01,10,10,19,11.00,31.00,20.00,false,0.900000,9.00,12.00,580.00
52,411788,2,1,"Beta(2,1)_current",0.01,10,10,12,7.00,21.00,14.00,true,0.200000,2.00,12.00,890.00
53,419707,2,1,"Beta(2,1)_current",0.01,10,10,9,5.00,16.00,11.00,true,0.100000,-1.00,12.00,1185.00
54,427626,2,1,"Beta(2,1)_current",0.01,10,10,9,5.00,15.00,10.00,true,0.100000,-1.00,12.00,1272.00
55,435545,2,1,"Beta(2,1)_current",0.01,10,10,10,6.00,18.00,12.00,true,0.000000,0.00,12.00,1046.00
56,443464,2,1,"Beta(2,1)_current",0.01,10,10,9,5.00,15.00,10.00,true,0.100000,-1.00,12.00,1249.00
57,451383,2,1,"Beta(2,1)_current",0.01,10,10,12,7.00,20.00,13.00,true,0.200000,2.00,12.00,902.00
58,459302,2,1,"Beta(2,1)_current",0.01,10,10,18,11.00,31.00,20.00,false,0.800000,8.00,12.00,591.00
59,467221,2,1,"Beta(2,1)_current",0.01,10,10,13,8.00,23.00,15.00,true,0.300000,3.00,12.00,805.00
60,475140,2,1,"Beta(2,1)_current",0.01,10,10,11,6.00,19.00,13.00,true,0.100000,1.00,12.00,993.00
61,483059,2,1,"Beta(2,1)_current",0.01,10,10,21,13.00,35.00,22.00,false,1.100000,11.00,12.00,518.00
62,490978,2,1,"Beta(2,1)_current",0.01,10,10,8,5.00,14.00,9.00,true,0.200000,-2.00,12.00,1355.00
