trial_id,seed,tests_run,bug_found,claimed_confidence,true_pass_rate,threshold,target_confidence,threshold_actually_met,termination_reason,elapsed_micros,outcome
0,0,100,false,0.994375,1,0.95,0.9,true,confidence,2634,TP
1,7919,100,false,0.994375,1,0.95,0.9,true,confidence,795,TP
2,15838,100,false,0.994375,1,0.95,0.9,true,confidence,423,TP
3,23757,100,false,0.994375,1,0.95,0.9,true,confidence,312,TP
4,31676,100,false,0.994375,1,0.95,0.9,true,confidence,283,TP
5,39595,100,false,0.994375,1,0.95,0.9,true,confidence,392,TP
6,47514,100,false,0.994375,1,0.95,0.9,true,confidence,617,TP
7,55433,100,false,0.994375,1,0.95,0.9,true,confidence,335,TP
8,63352,100,false,0.994375,1,0.95,0.9,true,confidence,314,TP
9,71271,100,false,0.994375,1,0.95,0.9,true,confidence,320,TP
10,79190,100,false,0.994375,1,0.95,0.9,true,confidence,235,TP
11,87109,100,false,0.994375,1,0.95,0.9,true,confidence,441,TP
12,95028,100,false,0.994375,1,0.95,0.9,true,confidence,169,TP
13,102947,100,false,0.994375,1,0.95,0.9,true,confidence,177,TP
14,110866,100,false,0.994375,1,0.95,0.9,true,confidence,148,TP
15,118785,100,false,0.994375,1,0.95,0.9,true,confidence,155,TP
16,126704,100,false,0.994375,1,0.95,0.9,true,confidence,180,TP
17,134623,100,false,0.994375,1,0.95,0.9,true,confidence,203,TP
18,142542,100,false,0.994375,1,0.95,0.9,true,confidence,184,TP
19,150461,100,false,0.994375,1,0.95,0.9,true,confidence,255,TP
20,158380,100,false,0.994375,1,0.95,0.9,true,confidence,213,TP
21,166299,100,false,0.994375,1,0.95,0.9,true,confidence,293,TP
22,174218,100,false,0.994375,1,0.95,0.9,true,confidence,176,TP
23,182137,100,false,0.994375,1,0.95,0.9,true,confidence,147,TP
24,190056,100,false,0.994375,1,0.95,0.9,true,confidence,132,TP
25,197975,100,false,0.994375,1,0.95,0.9,true,confidence,131,TP
26,205894,100,false,0.994375,1,0.95,0.9,true,confidence,139,TP
27,213813,100,false,0.994375,1,0.95,0.9,true,confidence,138,TP
28,221732,100,false,0.994375,1,0.95,0.9,true,confidence,141,TP
29,229651,100,false,0.994375,1,0.95,0.9,true,confidence,133,TP
30,237570,100,false,0.994375,1,0.95,0.9,true,confidence,143,TP
31,245489,100,false,0.994375,1,0.95,0.9,true,confidence,134,TP
32,253408,100,false,0.994375,1,0.95,0.9,true,confidence,255,TP
33,261327,100,false,0.994375,1,0.95,0.9,true,confidence,130,TP
34,269246,100,false,0.994375,1,0.95,0.9,true,confidence,126,TP
35,277165,100,false,0.994375,1,0.95,0.9,true,confidence,129,TP
36,285084,100,false,0.994375,1,0.95,0.9,true,confidence,129,TP
37,293003,100,false,0.994375,1,0.95,0.9,true,confidence,126,TP
38,300922,100,false,0.994375,1,0.95,0.9,true,confidence,125,TP
39,308841,100,false,0.994375,1,0.95,0.9,true,confidence,132,TP
40,316760,100,false,0.994375,1,0.95,0.9,true,confidence,143,TP
41,324679,100,false,0.994375,1,0.95,0.9,true,confidence,140,TP
