trial_id,seed,scenario,true_size,estimated_size,ci_lower,ci_upper,ci_width,true_in_ci,warmup_samples,relative_error
0,0,filter_10pct,100,102,91.00,114.00,23.00,true,200,0.020000
1,7919,filter_10pct,100,99,89.00,111.00,22.00,true,200,0.010000
2,15838,filter_10pct,100,104,93.00,116.00,23.00,true,200,0.040000
3,23757,filter_10pct,100,104,93.00,116.00,23.00,true,200,0.040000
4,31676,filter_10pct,100,94,84.00,105.00,21.00,true,200,0.060000
5,39595,filter_10pct,100,101,90.00,113.00,23.00,true,200,0.010000
6,47514,filter_10pct,100,90,81.00,101.00,20.00,true,200,0.100000
7,55433,filter_10pct,100,96,86.00,107.00,21.00,true,200,0.040000
8,63352,filter_10pct,100,97,87.00,109.00,22.00,true,200,0.030000
9,71271,filter_10pct,100,92,82.00,103.00,21.00,true,200,0.080000
10,79190,filter_10pct,100,110,98.00,123.00,25.00,true,200,0.100000
11,87109,filter_10pct,100,94,84.00,105.00,21.00,true,200,0.060000
12,95028,filter_10pct,100,111,100.00,125.00,25.00,true,200,0.110000
13,102947,filter_10pct,100,95,85.00,106.00,21.00,true,200,0.050000
14,110866,filter_10pct,100,103,92.00,116.00,24.00,true,200,0.030000
15,118785,filter_10pct,100,98,88.00,110.00,22.00,true,200,0.020000
16,126704,filter_10pct,100,108,97.00,121.00,24.00,true,200,0.080000
17,134623,filter_10pct,100,106,95.00,119.00,24.00,true,200,0.060000
18,142542,filter_10pct,100,98,88.00,110.00,22.00,true,200,0.020000
19,150461,filter_10pct,100,106,95.00,119.00,24.00,true,200,0.060000
20,158380,filter_10pct,100,105,94.00,118.00,24.00,true,200,0.050000
21,166299,filter_10pct,100,92,82.00,103.00,21.00,true,200,0.080000
22,174218,filter_10pct,100,103,92.00,115.00,23.00,true,200,0.030000
23,182137,filter_10pct,100,99,88.00,111.00,23.00,true,200,0.010000
24,190056,filter_10pct,100,97,87.00,109.00,22.00,true,200,0.030000
25,197975,filter_10pct,100,110,98.00,123.00,25.00,true,200,0.100000
