trial_id,seed,pass_rate,warmup_count,true_size,estimated_size,ci_lower,ci_upper,ci_width,true_in_ci,relative_error
0,0,0.1,10,100,109,78.00,153.00,75.00,true,0.090000
1,7919,0.1,10,100,115,82.00,161.00,79.00,true,0.150000
2,15838,0.1,10,100,98,69.00,137.00,68.00,true,0.020000
3,23757,0.1,10,100,87,62.00,123.00,61.00,true,0.130000
4,31676,0.1,10,100,95,67.00,133.00,66.00,true,0.050000
5,39595,0.1,10,100,127,91.00,178.00,87.00,true,0.270000
6,47514,0.1,10,100,100,71.00,140.00,69.00,true,0.000000
7,55433,0.1,10,100,71,51.00,101.00,50.00,true,0.290000
8,63352,0.1,10,100,84,60.00,119.00,59.00,true,0.160000
9,71271,0.1,10,100,97,69.00,137.00,68.00,true,0.030000
10,79190,0.1,10,100,121,86.00,169.00,83.00,true,0.210000
11,87109,0.1,10,100,87,62.00,123.00,61.00,true,0.130000
12,95028,0.1,10,100,117,83.00,163.00,80.00,true,0.170000
13,102947,0.1,10,100,85,61.00,121.00,60.00,true,0.150000
14,110866,0.1,10,100,72,51.00,102.00,51.00,true,0.280000
15,118785,0.1,10,100,98,70.00,138.00,68.00,true,0.020000
16,126704,0.1,10,100,132,94.00,184.00,90.00,true,0.320000
17,134623,0.1,10,100,114,81.00,160.00,79.00,true,0.140000
18,142542,0.1,10,100,76,54.00,108.00,54.00,true,0.240000
19,150461,0.1,10,100,111,79.00,156.00,77.00,true,0.110000
20,158380,0.1,10,100,86,61.00,121.00,60.00,true,0.140000
21,166299,0.1,10,100,90,64.00,127.00,63.00,true,0.100000
22,174218,0.1,10,100,125,89.00,174.00,85.00,true,0.250000
23,182137,0.1,10,100,83,59.00,117.00,58.00,true,0.170000
24,190056,0.1,10,100,79,56.00,112.00,56.00,true,0.210000
25,197975,0.1,10,100,101,72.00,142.00,70.00,true,0.010000
26,205894,0.1,10,100,97,69.00,136.00,67.00,true,0.030000
27,213813,0.1,10,100,108,77.00,151.00,74.00,true,0.080000
28,221732,0.1,10,100,127,90.00,177.00,87.00,true,0.270000
29,229651,0.1,10,100,81,57.00,114.00,57.00,true,0.190000
30,237570,0.1,10,100,96,68.00,136.00,68.00,true,0.040000
31,245489,0.1,10,100,86,61.00,121.00,60.00,true,0.140000
32,253408,0.1,10,100,93,66.00,132.00,66.00,true,0.070000
33,261327,0.1,10,100,99,70.00,139.00,69.00,true,0.010000
34,269246,0.1,10,100,100,71.00,141.00,70.00,true,0.000000
35,277165,0.1,10,100,92,65.00,130.00,65.00,true,0.080000
36,285084,0.1,10,100,89,63.00,125.00,62.00,true,0.110000
37,293003,0.1,10,100,121,87.00,170.00,83.00,true,0.210000
38,300922,0.1,10,100,103,74.00,145.00,71.00,true,0.030000
39,308841,0.1,10,100,89,63.00,125.00,62.00,true,0.110000
40,316760,0.1,10,100,107,76.00,150.00,74.00,true,0.070000
41,324679,0.1,10,100,90,64.00,127.00,63.00,true,0.100000
42,332598,0.1,10,100,108,77.00,152.00,75.00,true,0.080000
43,340517,0.1,10,100,93,66.00,132.00,66.00,true,0.070000
44,348436,0.1,10,100,121,87.00,170.00,83.00,true,0.210000
45,356355,0.1,10,100,88,62.00,124.00,62.00,true,0.120000
46,364274,0.1,10,100,94,67.00,132.00,65.00,true,0.060000
47,372193,0.1,10,100,96,68.00,135.00,67.00,true,0.040000
48,380112,0.1,10,100,96,68.00,136.00,68.00,true,0.040000
49,388031,0.1,10,100,118,84.00,165.00,81.00,true,0.180000
50,395950,0.1,10,100,106,76.00,149.00,73.00,true,0.060000
51,403869,0.1,10,100,100,71.00,140.00,69.00,true,0.000000
52,411788,0.1,10,100,84,60.00,119.00,59.00,true,0.160000
53,419707,0.1,10,100,72,51.00,102.00,51.00,true,0.280000
54,427626,0.1,10,100,96,68.00,135.00,67.00,true,0.040000
55,435545,0.1,10,100,92,65.00,129.00,64.00,true,0.080000
56,443464,0.1,10,100,93,66.00,131.00,65.00,true,0.070000
57,451383,0.1,10,100,101,72.00,142.00,70.00,true,0.010000
58,459302,0.1,10,100,101,72.00,142.00,70.00,true,0.010000
59,467221,0.1,10,100,91,65.00,128.00,63.00,true,0.090000
60,475140,0.1,10,100,89,63.00,126.00,63.00,true,0.110000
61,483059,0.1,10,100,92,65.00,130.00,65.00,true,0.080000
62,490978,0.1,10,100,125,89.00,174.00,85.00,true,0.250000
63,498897,0.1,10,100,94,67.00,133.00,66.00,true,0.060000
64,506816,0.1,10,100,81,57.00,114.00,57.00,true,0.190000
65,514735,0.1,10,100,88,63.00,125.00,62.00,true,0.120000
66,522654,0.1,10,100,121,87.00,170.00,83.00,true,0.210000
67,530573,0.1,10,100,93,66.00,132.00,66.00,true,0.070000
68,538492,0.1,10,100,77,54.00,109.00,55.00,true,0.230000
69,546411,0.1,10,100,108,77.00,151.00,74.00,true,0.080000
70,554330,0.1,10,100,81,58.00,115.00,57.00,true,0.190000
71,562249,0.1,10,100,122,87.00,171.00,84.00,true,0.220000
72,570168,0.1,10,100,88,62.00,124.00,62.00,true,0.120000
73,578087,0.1,10,100,113,81.00,158.00,77.00,true,0.130000
74,586006,0.1,10,100,97,69.00,137.00,68.00,true,0.030000
75,593925,0.1,10,100,117,84.00,164.00,80.00,true,0.170000
76,601844,0.1,10,100,96,68.00,136.00,68.00,true,0.040000
77,609763,0.1,10,100,99,70.00,139.00,69.00,true,0.010000
78,617682,0.1,10,100,114,81.00,159.00,78.00,true,0.140000
79,625601,0.1,10,100,93,66.00,131.00,65.00,true,0.070000
80,633520,0.1,10,100,77,54.00,109.00,55.00,true,0.230000
81,641439,0.1,10,100,111,79.00,156.00,77.00,true,0.110000
82,649358,0.1,10,100,103,73.00,145.00,72.00,true,0.030000
83,657277,0.1,10,100,93,66.00,131.00,65.00,true,0.070000
84,665196,0.1,10,100,94,67.00,133.00,66.00,true,0.060000
85,673115,0.1,10,100,80,57.00,113.00,56.00,true,0.200000
86,681034,0.1,10,100,69,49.00,98.00,49.00,false,0.310000
87,688953,0.1,10,100,94,67.00,132.00,65.00,true,0.060000
88,696872,0.1,10,100,76,54.00,107.00,53.00,true,0.240000
89,704791,0.1,10,100,97,69.00,137.00,68.00,true,0.030000
90,712710,0.1,10,100,73,52.00,104.00,52.00,true,0.270000
91,720629,0.1,10,100,106,76.00,149.00,73.00,true,0.060000
92,728548,0.1,10,100,94,67.00,132.00,65.00,true,0.060000
93,736467,0.1,10,100,103,73.00,145.00,72.00,true,0.030000
94,744386,0.1,10,100,99,70.00,139.00,69.00,true,0.010000
95,752305,0.1,10,100,104,74.00,146.00,72.00,true,0.040000
96,760224,0.1,10,100,103,73.00,145.00,72.00,true,0.030000
97,768143,0.1,10,100,108,77.00,152.00,75.00,true,0.080000
98,776062,0.1,10,100,90,64.00,127.00,63.00,true,0.100000
99,783981,0.1,10,100,109,78.00,153.00,75.00,true,0.090000
100,791900,0.1,10,100,93,66.00,130.00,64.00,true,0.070000
101,799819,0.1,10,100,95,68.00,134.00,66.00,true,0.050000
102,807738,0.1,10,100,96,68.00,135.00,67.00,true,0.040000
103,815657,0.1,10,100,109,78.00,153.00,75.00,true,0.090000
104,823576,0.1,10,100,80,56.00,113.00,57.00,true,0.200000
105,831495,0.1,10,100,87,62.00,123.00,61.00,true,0.130000
106,839414,0.1,10,100,106,75.00,148.00,73.00,true,0.060000
107,847333,0.1,10,100,84,60.00,119.00,59.00,true,0.160000
108,855252,0.1,10,100,114,81.00,160.00,79.00,true,0.140000
109,863171,0.1,10,100,65,46.00,92.00,46.00,false,0.350000
110,871090,0.1,10,100,89,63.00,126.00,63.00,true,0.110000
111,879009,0.1,10,100,84,60.00,119.00,59.00,true,0.160000
112,886928,0.1,10,100,77,54.00,109.00,55.00,true,0.230000
113,894847,0.1,10,100,72,51.00,103.00,52.00,true,0.280000
114,902766,0.1,10,100,108,77.00,151.00,74.00,true,0.080000
115,910685,0.1,10,100,109,78.00,153.00,75.00,true,0.090000
116,918604,0.1,10,100,89,63.00,125.00,62.00,true,0.110000
117,926523,0.1,10,100,99,70.00,139.00,69.00,true,0.010000
118,934442,0.1,10,100,91,65.00,128.00,63.00,true,0.090000
119,942361,0.1,10,100,80,57.00,114.00,57.00,true,0.200000
120,950280,0.1,10,100,90,64.00,127.00,63.00,true,0.100000
121,958199,0.1,10,100,119,85.00,167.00,82.00,true,0.190000
122,966118,0.1,10,100,95,68.00,134.00,66.00,true,0.050000
123,974037,0.1,10,100,99,70.00,139.00,69.00,true,0.010000
124,981956,0.1,10,100,91,64.00,128.00,64.00,true,0.090000
125,989875,0.1,10,100,91,65.00,129.00,64.00,true,0.090000
126,997794,0.1,10,100,96,68.00,135.00,67.00,true,0.040000
127,1005713,0.1,10,100,111,79.00,156.00,77.00,true,0.110000
128,1013632,0.1,10,100,105,75.00,147.00,72.00,true,0.050000
129,1021551,0.1,10,100,118,84.00,165.00,81.00,true,0.180000
