trial_id,seed,depth,true_size,estimated_size,ci_lower,ci_upper,ci_width,relative_width,true_in_ci,relative_error,oracle_lower,oracle_upper,oracle_width,true_in_oracle,width_ratio_vs_oracle
0,0,1,50,54,49.00,58.00,9.00,0.1800,true,0.080000,44.49,55.89,11.40,true,0.7897
1,7919,1,50,49,44.00,53.00,9.00,0.1800,true,0.020000,44.42,56.24,11.82,true,0.7614
2,15838,1,50,53,48.00,57.00,9.00,0.1800,true,0.060000,44.38,55.93,11.54,true,0.7796
3,23757,1,50,48,44.00,53.00,9.00,0.1800,true,0.040000,44.49,55.89,11.41,true,0.7890
4,31676,1,50,50,46.00,55.00,9.00,0.1800,true,0.000000,44.44,56.06,11.62,true,0.7745
5,39595,1,50,52,48.00,57.00,9.00,0.1800,true,0.040000,44.38,56.09,11.71,true,0.7686
6,47514,1,50,55,51.00,60.00,9.00,0.1800,false,0.100000,44.58,56.03,11.45,true,0.7863
7,55433,1,50,48,44.00,52.00,8.00,0.1600,true,0.040000,44.40,56.07,11.67,true,0.6856
8,63352,1,50,49,45.00,54.00,9.00,0.1800,true,0.020000,44.53,55.99,11.46,true,0.7855
9,71271,1,50,51,47.00,56.00,9.00,0.1800,true,0.020000,44.42,55.96,11.54,true,0.7800
10,79190,1,50,50,46.00,55.00,9.00,0.1800,true,0.000000,44.48,56.01,11.53,true,0.7805
11,87109,1,50,51,46.00,55.00,9.00,0.1800,true,0.020000,44.45,56.05,11.60,true,0.7756
12,95028,1,50,50,45.00,54.00,9.00,0.1800,true,0.000000,44.37,55.96,11.58,true,0.7769
13,102947,1,50,51,47.00,56.00,9.00,0.1800,true,0.020000,44.59,56.00,11.40,true,0.7893
14,110866,1,50,52,48.00,57.00,9.00,0.1800,true,0.040000,44.51,56.04,11.53,true,0.7803
15,118785,1,50,56,52.00,61.00,9.00,0.1800,false,0.120000,44.60,56.05,11.44,true,0.7866
16,126704,1,50,54,49.00,58.00,9.00,0.1800,true,0.080000,44.62,56.01,11.39,true,0.7902
17,134623,1,50,53,48.00,57.00,9.00,0.1800,true,0.060000,44.44,55.98,11.54,true,0.7798
18,142542,1,50,54,49.00,58.00,9.00,0.1800,true,0.080000,44.39,55.99,11.60,true,0.7760
19,150461,1,50,47,43.00,52.00,9.00,0.1800,true,0.060000,44.61,56.07,11.46,true,0.7853
20,158380,1,50,51,46.00,55.00,9.00,0.1800,true,0.020000,44.31,55.90,11.59,true,0.7767
21,166299,1,50,51,46.00,55.00,9.00,0.1800,true,0.020000,44.46,55.91,11.45,true,0.7860
