trial_id,seed,approach,witness_found,tests_run,elapsed_micros,a_value,lines_of_code
0,79190000,first_class,true,14,172,794669,6
1,79197919,first_class,true,14,56,854305,6
2,79205838,first_class,true,17,56,751586,6
3,79213757,first_class,true,14,29,552250,6
4,79221676,first_class,true,14,36,890567,6
5,79229595,first_class,true,17,36,965539,6
6,79237514,first_class,true,14,29,629024,6
7,79245433,first_class,true,15,31,700212,6
8,79253352,first_class,true,14,33,829854,6
9,79261271,first_class,true,19,67,878675,6
10,79269190,first_class,true,14,32,891840,6
11,79277109,first_class,true,14,26,649506,6
12,79285028,first_class,true,15,27,616287,6
13,79292947,first_class,true,14,28,662574,6
14,79300866,first_class,true,14,25,974448,6
15,79308785,first_class,true,14,26,511094,6
16,79316704,first_class,true,14,34,755985,6
17,79324623,first_class,true,15,28,598996,6
18,79332542,first_class,true,15,27,738962,6
19,79340461,first_class,true,14,34,515203,6
20,79348380,first_class,true,14,25,610793,6
21,79356299,first_class,true,15,26,957595,6
22,79364218,first_class,true,17,31,554000,6
23,79372137,first_class,true,22,49,929145,6
24,79380056,first_class,true,15,27,723755,6
25,79387975,first_class,true,14,34,579890,6
26,79395894,first_class,true,14,31,846151,6
27,79403813,first_class,true,18,39,907748,6
28,79411732,first_class,true,14,39,540113,6
29,79419651,first_class,true,17,30,818693,6
30,79427570,first_class,true,14,24,761997,6
31,79435489,first_class,true,14,32,549745,6
32,79443408,first_class,true,14,25,716146,6
33,79451327,first_class,true,15,39,779521,6
34,79459246,first_class,true,15,26,801710,6
35,79467165,first_class,true,15,26,602998,6
36,79475084,first_class,true,14,31,705938,6
37,79483003,first_class,true,14,24,953745,6
38,79490922,first_class,true,14,32,907891,6
39,79498841,first_class,true,14,45,983568,6
40,79506760,first_class,true,17,30,688475,6
41,79514679,first_class,true,14,25,831969,6
42,79522598,first_class,true,15,26,884260,6
43,79530517,first_class,true,15,26,985858,6
44,79538436,first_class,true,14,24,902800,6
45,79546355,first_class,true,14,28,915603,6
46,79554274,first_class,true,16,28,720853,6
47,79562193,first_class,true,14,30,817939,6
48,79570112,first_class,true,20,38,910364,6
49,79578031,first_class,true,19,50,943932,6
50,79585950,double_negation,true,21,144,586430,20
51,79593869,double_negation,true,21,62,541218,20
52,79601788,double_negation,true,21,50,613959,20
53,79609707,double_negation,true,25,85,638376,20
54,79617626,double_negation,true,23,70,951715,20
55,79625545,double_negation,true,21,48,545022,20
56,79633464,double_negation,true,23,73,866124,20
57,79641383,double_negation,true,21,47,658579,20
58,79649302,double_negation,true,21,46,822174,20
59,79657221,double_negation,true,21,59,619042,20
60,79665140,double_negation,true,25,63,779822,20
61,79673059,double_negation,true,21,37,788133,20
62,79680978,double_negation,true,25,58,975809,20
63,79688897,double_negation,true,21,38,635232,20
64,79696816,double_negation,true,21,43,888146,20
65,79704735,double_negation,true,25,82,991099,20
66,79712654,double_negation,true,29,97,764667,20
67,79720573,double_negation,true,21,63,613028,20
68,79728492,double_negation,true,21,36,608477,20
69,79736411,double_negation,true,21,47,976685,20
70,79744330,double_negation,true,23,46,962234,20
71,79752249,double_negation,true,21,35,778392,20
72,79760168,double_negation,true,23,47,842905,20
73,79768087,double_negation,true,23,46,918851,20
74,79776006,double_negation,true,23,59,909884,20
75,79783925,double_negation,true,45,166,725106,20
76,79791844,double_negation,true,21,35,584397,20
77,79799763,double_negation,true,25,56,659129,20
78,79807682,double_negation,true,21,35,990538,20
79,79815601,double_negation,true,21,35,531709,20
80,79823520,double_negation,true,25,55,997421,20
81,79831439,double_negation,true,25,56,986399,20
82,79839358,double_negation,true,23,48,940273,20
83,79847277,double_negation,true,21,35,960937,20
84,79855196,double_negation,true,23,46,799400,20
85,79863115,double_negation,true,21,35,927802,20
86,79871034,double_negation,true,21,35,966224,20
87,79878953,double_negation,true,21,35,518926,20
88,79886872,double_negation,true,21,35,944565,20
89,79894791,double_negation,true,23,46,663167,20
90,79902710,double_negation,true,21,35,656034,20
91,79910629,double_negation,true,21,34,876844,20
92,79918548,double_negation,true,21,35,620774,20
93,79926467,double_negation,true,21,35,717125,20
94,79934386,double_negation,true,21,45,629186,20
95,79942305,double_negation,true,25,57,529766,20
96,79950224,double_negation,true,23,45,829484,20
97,79958143,double_negation,true,23,46,988744,20
98,79966062,double_negation,true,21,35,946149,20
99,79973981,double_negation,true,21,35,962296,20
