scenario,pass_rate,true_size,estimated_size,ci_lower,ci_upper,ci_width,covered,relative_error
product_independent,0.5,250000,227664,164158,302100,137942,true,0.089344
product_independent,0.5,250000,245952,178450,324836,146386,true,0.016192
product_independent,0.5,250000,234500,169548,311108,141560,true,0.062
product_independent,0.5,250000,241820,175414,319553,144139,true,0.03272
product_independent,0.5,250000,283276,207358,368560,161202,true,0.133104
product_independent,0.5,250000,257580,187110,337635,150525,true,0.03032
product_independent,0.5,250000,278780,203846,364206,160360,true,0.11512
product_independent,0.5,250000,319532,235985,411015,175030,true,0.278128
product_independent,0.5,250000,238680,172788,315495,142707,true,0.04528
product_independent,0.5,250000,278880,204000,363321,159321,true,0.11552
product_independent,0.5,250000,247904,179695,327646,147951,true,0.008384
product_independent,0.5,250000,228285,164749,302892,138143,true,0.08686
product_independent,0.5,250000,265360,193276,348270,154994,true,0.06144
product_independent,0.5,250000,270000,196812,353010,156198,true,0.08
product_independent,0.5,250000,237006,171304,313458,142154,true,0.051976
product_independent,0.5,250000,247968,180170,327148,146978,true,0.008128
product_independent,0.5,250000,310835,229000,401427,172427,true,0.24334
product_independent,0.5,250000,310500,228690,400980,172290,true,0.242
product_independent,0.5,250000,264668,192685,347468,154783,true,0.058672
product_independent,0.5,250000,279720,204680,364140,159460,true,0.11888
product_independent,0.5,250000,325910,240456,417880,177424,true,0.30364
product_independent,0.5,250000,242473,175518,320864,145346,true,0.030108
product_independent,0.5,250000,314548,231684,405074,173390,true,0.258192
product_independent,0.5,250000,280900,206116,367236,161120,true,0.1236
product_independent,0.5,250000,258640,188410,340572,152162,true,0.03456
product_independent,0.5,250000,244701,176985,322263,145278,true,0.021196
product_independent,0.5,250000,305250,224196,393750,169554,true,0.221
product_independent,0.5,250000,266200,194052,348125,154073,true,0.0648
product_independent,0.5,250000,247968,180170,327148,146978,true,0.008128
product_independent,0.5,250000,238144,172225,315844,143619,true,0.047424
product_independent,0.5,250000,325360,240000,417852,177852,true,0.30144
product_independent,0.5,250000,288176,211000,374490,163490,true,0.152704
product_independent,0.5,250000,274813,200500,358722,158222,true,0.099252
product_independent,0.5,250000,240000,173808,317422,143614,true,0.04
product_independent,0.5,250000,295148,216500,383031,166531,true,0.180592
product_independent,0.5,250000,292824,215000,379746,164746,true,0.171296
product_independent,0.5,250000,212030,152470,283526,131056,true,0.15188
product_independent,0.5,250000,298053,218500,385659,167159,true,0.192212
product_independent,0.5,250000,285000,208740,370804,162064,true,0.14
product_independent,0.5,250000,328265,242500,421137,178637,true,0.31306
product_independent,0.5,250000,260500,189570,342104,152534,true,0.042
product_independent,0.5,250000,244541,176841,323232,146391,true,0.021836
product_independent,0.5,250000,246609,178605,325008,146403,true,0.013564
product_independent,0.5,250000,209403,150255,279441,129186,true,0.162388
product_independent,0.5,250000,248000,179772,327180,147408,true,0.008
product_independent,0.5,250000,250228,181692,329744,148052,true,0.000912
product_independent,0.5,250000,267273,194465,349852,155387,true,0.069092
product_independent,0.5,250000,277020,201894,361005,159111,true,0.10808
product_independent,0.5,250000,234256,169744,310249,140505,true,0.062976
product_independent,0.5,250000,296970,218050,385016,166966,true,0.18788
product_independent,0.5,250000,260568,189630,342176,152546,true,0.042272
product_independent,0.5,250000,274455,200146,358657,158511,true,0.09782
product_independent,0.5,250000,248517,180225,327204,146979,true,0.005932
product_independent,0.5,250000,266400,194208,348390,154182,true,0.0656
product_independent,0.5,250000,260760,190226,342996,152770,true,0.04304
product_independent,0.5,250000,270840,197540,354060,156520,true,0.08336
product_independent,0.5,250000,278780,203846,364206,160360,true,0.11512
product_independent,0.5,250000,289845,211945,376267,164322,true,0.15938
product_independent,0.5,250000,281765,205506,367040,161534,true,0.12706
product_independent,0.5,250000,291760,213600,379056,165456,true,0.16704
product_independent,0.5,250000,264355,193000,346239,153239,true,0.05742
product_independent,0.5,250000,281410,205642,367211,161569,true,0.12564
product_independent,0.5,250000,284715,208012,369810,161798,true,0.13886
product_independent,0.5,250000,313760,231540,405414,173874,true,0.25504
product_independent,0.5,250000,272160,198660,355470,156810,true,0.08864
product_independent,0.5,250000,314045,231290,405093,173803,true,0.25618
product_independent,0.5,250000,308000,226080,397500,171420,true,0.232
product_independent,0.5,250000,212005,152382,282100,129718,true,0.15198
product_independent,0.5,250000,284480,207840,370788,162948,true,0.13792
product_independent,0.5,250000,215271,154822,287260,132438,true,0.138916
product_independent,0.5,250000,272800,198762,356250,157488,true,0.0912
product_independent,0.5,250000,240702,174440,318264,143824,true,0.037192
product_independent,0.5,250000,292105,213885,379472,165587,true,0.16842
product_independent,0.5,250000,279585,203642,363940,160298,true,0.11834
product_independent,0.5,250000,260568,189630,342176,152546,true,0.042272
product_independent,0.5,250000,329400,243474,421890,178416,true,0.3176
product_independent,0.5,250000,250902,181845,329949,148104,true,0.003608
product_independent,0.5,250000,273280,199200,357432,158232,true,0.09312
product_independent,0.5,250000,255380,185755,335243,149488,true,0.02152
product_independent,0.5,250000,338550,250852,432180,181328,false,0.3542
product_independent,0.5,250000,241450,174741,318125,143384,true,0.0342
product_independent,0.5,250000,271890,198398,355722,157324,true,0.08756
product_independent,0.5,250000,332320,246448,424650,178202,true,0.32928
product_independent,0.5,250000,296925,218008,384930,166922,true,0.1877
product_independent,0.5,250000,281204,206000,365949,159949,true,0.124816
product_independent,0.5,250000,302475,221816,390600,168784,true,0.2099
product_independent,0.5,250000,250915,182284,331162,148878,true,0.00366
product_independent,0.5,250000,284480,207840,370788,162948,true,0.13792
product_independent,0.5,250000,271890,198398,355722,157324,true,0.08756
product_independent,0.5,250000,273060,199444,356580,157136,true,0.09224
product_independent,0.5,250000,275000,200646,358750,158104,true,0.1
product_independent,0.5,250000,238500,172530,315126,142596,true,0.046
product_independent,0.5,250000,190096,135424,256036,120612,true,0.239616
product_independent,0.5,250000,292100,214335,380116,165781,true,0.1684
product_independent,0.5,250000,261360,190344,342555,152211,true,0.04544
product_independent,0.5,250000,258792,188131,340166,152035,true,0.035168
