trial_id,seed,scenario,approach,witness_density,sample_size,witness_found,tests_run,elapsed_micros,witness_value,shrink_candidates_tested,shrink_improvements_made
0,0,sparse,first_class,0.0001,100,false,100,2657,,0,0
1,7919,sparse,first_class,0.0001,100,false,100,445,,0,0
2,15838,sparse,first_class,0.0001,100,false,100,349,,0,0
3,23757,sparse,first_class,0.0001,100,false,100,275,,0,0
4,31676,sparse,first_class,0.0001,100,false,100,294,,0,0
5,39595,sparse,first_class,0.0001,100,false,100,344,,0,0
6,47514,sparse,first_class,0.0001,100,false,100,283,,0,0
7,55433,sparse,first_class,0.0001,100,false,100,220,,0,0
8,63352,sparse,first_class,0.0001,100,false,100,278,,0,0
9,71271,sparse,first_class,0.0001,100,false,100,247,,0,0
10,79190,sparse,first_class,0.0001,100,false,100,208,,0,0
11,87109,sparse,first_class,0.0001,100,false,100,188,,0,0
12,95028,sparse,first_class,0.0001,100,false,100,166,,0,0
13,102947,sparse,first_class,0.0001,100,false,100,397,,0,0
14,110866,sparse,first_class,0.0001,100,false,100,117,,0,0
15,118785,sparse,first_class,0.0001,100,false,100,131,,0,0
16,126704,sparse,first_class,0.0001,100,false,100,122,,0,0
17,134623,sparse,first_class,0.0001,100,false,100,114,,0,0
18,142542,sparse,first_class,0.0001,100,false,100,111,,0,0
19,150461,sparse,first_class,0.0001,100,false,100,109,,0,0
20,158380,sparse,first_class,0.0001,100,false,100,108,,0,0
21,166299,sparse,first_class,0.0001,100,false,100,135,,0,0
22,174218,sparse,first_class,0.0001,100,false,100,143,,0,0
23,182137,sparse,first_class,0.0001,100,false,100,144,,0,0
24,190056,sparse,first_class,0.0001,100,false,100,146,,0,0
25,0,sparse,double_negation,0.0001,100,false,100,455,,0,0
26,7919,sparse,double_negation,0.0001,100,false,100,207,,0,0
27,15838,sparse,double_negation,0.0001,100,false,100,185,,0,0
28,23757,sparse,double_negation,0.0001,100,false,100,198,,0,0
29,31676,sparse,double_negation,0.0001,100,false,100,268,,0,0
30,39595,sparse,double_negation,0.0001,100,false,100,167,,0,0
31,47514,sparse,double_negation,0.0001,100,false,100,143,,0,0
32,55433,sparse,double_negation,0.0001,100,false,100,137,,0,0
33,63352,sparse,double_negation,0.0001,100,false,100,161,,0,0
34,71271,sparse,double_negation,0.0001,100,false,100,156,,0,0
35,79190,sparse,double_negation,0.0001,100,false,100,148,,0,0
36,87109,sparse,double_negation,0.0001,100,false,100,124,,0,0
37,95028,sparse,double_negation,0.0001,100,false,100,143,,0,0
38,102947,sparse,double_negation,0.0001,100,false,100,155,,0,0
39,110866,sparse,double_negation,0.0001,100,false,100,155,,0,0
40,118785,sparse,double_negation,0.0001,100,false,100,146,,0,0
41,126704,sparse,double_negation,0.0001,100,false,100,137,,0,0
42,134623,sparse,double_negation,0.0001,100,false,100,127,,0,0
43,142542,sparse,double_negation,0.0001,100,false,100,135,,0,0
44,150461,sparse,double_negation,0.0001,100,false,100,144,,0,0
45,158380,sparse,double_negation,0.0001,100,false,100,192,,0,0
46,166299,sparse,double_negation,0.0001,100,false,100,289,,0,0
47,174218,sparse,double_negation,0.0001,100,false,100,140,,0,0
48,182137,sparse,double_negation,0.0001,100,false,100,133,,0,0
49,190056,sparse,double_negation,0.0001,100,false,100,141,,0,0
50,0,sparse,first_class,0.0001,200,false,200,232,,0,0
51,7919,sparse,first_class,0.0001,200,false,200,214,,0,0
52,15838,sparse,first_class,0.0001,200,false,200,208,,0,0
53,23757,sparse,first_class,0.0001,200,false,200,239,,0,0
54,31676,sparse,first_class,0.0001,200,false,200,216,,0,0
55,39595,sparse,first_class,0.0001,200,false,200,218,,0,0
56,47514,sparse,first_class,0.0001,200,false,200,304,,0,0
57,55433,sparse,first_class,0.0001,200,false,200,211,,0,0
58,63352,sparse,first_class,0.0001,200,false,200,240,,0,0
