trial_id,seed,scenario,pass_rate,base_size,true_size,samples_taken,terminated,termination_reason,estimated_size,ci_lower,ci_upper,inv95_at_termination,base_size_used,termination_condition_value,false_termination
0,0,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
1,7919,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
2,15838,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
3,23757,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
4,31676,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
5,39595,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
6,47514,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
7,55433,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
8,63352,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
9,71271,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
10,79190,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
11,87109,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
12,95028,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
13,102947,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
14,110866,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
15,118785,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
16,126704,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
17,134623,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
18,142542,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
19,150461,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
20,158380,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
21,166299,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
22,174218,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
23,182137,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
24,190056,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
25,197975,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
26,205894,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
