trial_id,seed,scenario,witness_density,sample_size,witness_found,tests_run,elapsed_micros,witness_value
0,0,sparse,0.0001,50,false,50,1944,
1,7919,sparse,0.0001,50,false,50,230,
2,15838,sparse,0.0001,50,false,50,201,
3,23757,sparse,0.0001,50,false,50,186,
4,31676,sparse,0.0001,50,false,50,655,
5,39595,sparse,0.0001,50,false,50,181,
6,47514,sparse,0.0001,50,false,50,174,
7,55433,sparse,0.0001,50,false,50,154,
8,63352,sparse,0.0001,50,false,50,188,
9,71271,sparse,0.0001,50,false,50,304,
10,79190,sparse,0.0001,50,false,50,217,
11,87109,sparse,0.0001,50,false,50,146,
12,95028,sparse,0.0001,50,false,50,111,
13,102947,sparse,0.0001,50,false,50,96,
14,110866,sparse,0.0001,50,false,50,91,
15,118785,sparse,0.0001,50,false,50,125,
16,126704,sparse,0.0001,50,false,50,106,
17,134623,sparse,0.0001,50,false,50,95,
18,142542,sparse,0.0001,50,false,50,88,
19,150461,sparse,0.0001,50,false,50,75,
20,158380,sparse,0.0001,50,false,50,90,
21,166299,sparse,0.0001,50,false,50,120,
22,174218,sparse,0.0001,50,false,50,83,
23,182137,sparse,0.0001,50,false,50,90,
24,190056,sparse,0.0001,50,false,50,100,
25,197975,sparse,0.0001,50,false,50,78,
26,205894,sparse,0.0001,50,false,50,91,
27,213813,sparse,0.0001,50,false,50,76,
28,221732,sparse,0.0001,50,false,50,96,
29,229651,sparse,0.0001,50,false,50,71,
30,237570,sparse,0.0001,50,false,50,399,
31,245489,sparse,0.0001,50,false,50,91,
32,253408,sparse,0.0001,50,false,50,70,
33,261327,sparse,0.0001,50,false,50,67,
34,269246,sparse,0.0001,50,false,50,61,
35,277165,sparse,0.0001,50,false,50,63,
36,285084,sparse,0.0001,50,false,50,64,
37,293003,sparse,0.0001,50,false,50,65,
38,300922,sparse,0.0001,50,false,50,65,
39,308841,sparse,0.0001,50,false,50,60,
40,316760,sparse,0.0001,50,false,50,87,
41,324679,sparse,0.0001,50,false,50,73,
42,332598,sparse,0.0001,50,false,50,67,
43,340517,sparse,0.0001,50,false,50,60,
44,348436,sparse,0.0001,50,false,50,83,
45,356355,sparse,0.0001,50,false,50,76,
46,364274,sparse,0.0001,50,false,50,80,
47,372193,sparse,0.0001,50,false,50,74,
48,380112,sparse,0.0001,50,false,50,75,
49,388031,sparse,0.0001,50,false,50,78,
50,395950,sparse,0.0001,100,false,100,186,
51,403869,sparse,0.0001,100,false,100,127,
52,411788,sparse,0.0001,100,false,100,136,
53,419707,sparse,0.0001,100,false,100,128,
54,427626,sparse,0.0001,100,false,100,127,
55,435545,sparse,0.0001,100,false,100,225,
56,443464,sparse,0.0001,100,true,19,305,"{""x"":370000}"
57,451383,sparse,0.0001,100,false,100,182,
58,459302,sparse,0.0001,100,false,100,136,
59,467221,sparse,0.0001,100,false,100,135,
60,475140,sparse,0.0001,100,false,100,131,
61,483059,sparse,0.0001,100,false,100,139,
62,490978,sparse,0.0001,100,false,100,173,
63,498897,sparse,0.0001,100,false,100,128,
64,506816,sparse,0.0001,100,false,100,120,
65,514735,sparse,0.0001,100,false,100,209,
66,522654,sparse,0.0001,100,false,100,147,
67,530573,sparse,0.0001,100,false,100,123,
68,538492,sparse,0.0001,100,false,100,125,
69,546411,sparse,0.0001,100,false,100,125,
70,554330,sparse,0.0001,100,false,100,122,
71,562249,sparse,0.0001,100,true,73,157,"{""x"":430000}"
72,570168,sparse,0.0001,100,false,100,276,
73,578087,sparse,0.0001,100,false,100,104,
74,586006,sparse,0.0001,100,false,100,94,
75,593925,sparse,0.0001,100,false,100,112,
76,601844,sparse,0.0001,100,false,100,120,
77,609763,sparse,0.0001,100,false,100,142,
78,617682,sparse,0.0001,100,false,100,106,
79,625601,sparse,0.0001,100,false,100,105,
80,633520,sparse,0.0001,100,false,100,101,
81,641439,sparse,0.0001,100,false,100,103,
82,649358,sparse,0.0001,100,false,100,97,
83,657277,sparse,0.0001,100,false,100,95,
84,665196,sparse,0.0001,100,false,100,116,
85,673115,sparse,0.0001,100,false,100,105,
86,681034,sparse,0.0001,100,false,100,105,
87,688953,sparse,0.0001,100,false,100,94,
88,696872,sparse,0.0001,100,false,100,94,
89,704791,sparse,0.0001,100,false,100,211,
90,712710,sparse,0.0001,100,false,100,94,
91,720629,sparse,0.0001,100,false,100,94,
92,728548,sparse,0.0001,100,false,100,93,
93,736467,sparse,0.0001,100,false,100,94,
94,744386,sparse,0.0001,100,false,100,93,
95,752305,sparse,0.0001,100,false,100,96,
96,760224,sparse,0.0001,100,false,100,94,
97,768143,sparse,0.0001,100,false,100,93,
98,776062,sparse,0.0001,100,false,100,93,
99,783981,sparse,0.0001,100,false,100,96,
100,791900,sparse,0.0001,200,false,200,175,
101,799819,sparse,0.0001,200,false,200,180,
102,807738,sparse,0.0001,200,false,200,175,
103,815657,sparse,0.0001,200,false,200,257,
104,823576,sparse,0.0001,200,false,200,192,
105,831495,sparse,0.0001,200,false,200,202,
106,839414,sparse,0.0001,200,false,200,173,
107,847333,sparse,0.0001,200,false,200,199,
108,855252,sparse,0.0001,200,false,200,167,
109,863171,sparse,0.0001,200,false,200,178,
110,871090,sparse,0.0001,200,false,200,164,
111,879009,sparse,0.0001,200,false,200,231,
112,886928,sparse,0.0001,200,false,200,166,
113,894847,sparse,0.0001,200,false,200,165,
114,902766,sparse,0.0001,200,false,200,164,
115,910685,sparse,0.0001,200,false,200,164,
116,918604,sparse,0.0001,200,false,200,164,
117,926523,sparse,0.0001,200,false,200,163,
118,934442,sparse,0.0001,200,false,200,164,
119,942361,sparse,0.0001,200,false,200,166,
120,950280,sparse,0.0001,200,false,200,247,
121,958199,sparse,0.0001,200,false,200,185,
