trial_id,implementation,seed,chain_depth,filter_pass_rate,composite_pass_rate,estimated_size,actual_distinct_values,credible_interval_lower,credible_interval_upper,true_value_in_ci,relative_error,elapsed_micros
0,legacy,0,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,16352
1,legacy,7919,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,14155
2,legacy,15838,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11854
3,legacy,23757,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,12102
4,legacy,31676,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11932
5,legacy,39595,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,12014
6,legacy,47514,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,12212
7,legacy,55433,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,12235
8,legacy,63352,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,12120
9,legacy,71271,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11935
10,legacy,79190,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,12188
11,legacy,87109,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11765
12,legacy,95028,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,12167
13,legacy,102947,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11952
14,legacy,110866,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11796
15,legacy,118785,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11731
16,legacy,126704,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,12112
17,legacy,134623,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,12179
18,legacy,142542,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11930
19,legacy,150461,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11794
20,legacy,158380,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11959
21,legacy,166299,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,12049
22,legacy,174218,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,12314
23,legacy,182137,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11926
24,legacy,190056,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11843
25,legacy,197975,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11794
26,legacy,205894,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,12183
27,legacy,213813,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,12032
28,legacy,221732,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,12110
29,legacy,229651,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11921
30,legacy,237570,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,12050
31,legacy,245489,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,12196
32,legacy,253408,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,12119
33,legacy,261327,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11708
34,legacy,269246,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11988
35,legacy,277165,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11891
36,legacy,285084,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11851
37,legacy,293003,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11606
38,legacy,300922,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11742
39,legacy,308841,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11676
40,legacy,316760,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,12187
41,legacy,324679,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11874
42,legacy,332598,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11987
43,legacy,340517,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11540
44,legacy,348436,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,12080
45,legacy,356355,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,12128
46,legacy,364274,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11789
47,legacy,372193,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11897
48,legacy,380112,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,12361
49,legacy,388031,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11916
50,legacy,395950,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11826
51,legacy,403869,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11917
52,legacy,411788,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11660
53,legacy,419707,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11750
54,legacy,427626,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,12112
55,legacy,435545,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,12230
56,legacy,443464,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11987
57,legacy,451383,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11936
58,legacy,459302,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11706
59,legacy,467221,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11836
60,legacy,475140,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,12160
61,legacy,483059,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11642
62,legacy,490978,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,12574
63,legacy,498897,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,12064
64,legacy,506816,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11999
65,legacy,514735,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11669
66,legacy,522654,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11823
67,legacy,530573,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11802
68,legacy,538492,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11585
69,legacy,546411,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11771
70,legacy,554330,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11636
71,legacy,562249,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11765
72,legacy,570168,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11814
73,legacy,578087,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11818
74,legacy,586006,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11884
75,legacy,593925,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11680
76,legacy,601844,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11938
77,legacy,609763,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,12216
78,legacy,617682,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,12077
79,legacy,625601,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,12297
80,legacy,633520,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11681
81,legacy,641439,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11723
82,legacy,649358,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11941
83,legacy,657277,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,12068
84,legacy,665196,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11676
85,legacy,673115,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11772
86,legacy,681034,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11883
87,legacy,688953,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11679
88,legacy,696872,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,12202
89,legacy,704791,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,12381
90,legacy,712710,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,12064
91,legacy,720629,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11883
92,legacy,728548,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11782
93,legacy,736467,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11779
94,legacy,744386,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11664
95,legacy,752305,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,12136
96,legacy,760224,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,12069
97,legacy,768143,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11739
98,legacy,776062,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11694
99,legacy,783981,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11942
100,legacy,791900,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11802
101,legacy,799819,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11772
102,legacy,807738,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,12020
103,legacy,815657,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11831
104,legacy,823576,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11927
105,legacy,831495,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11593
106,legacy,839414,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11643
107,legacy,847333,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11671
108,legacy,855252,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11844
109,legacy,863171,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11971
110,legacy,871090,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11860
111,legacy,879009,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11969
112,legacy,886928,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,12267
113,legacy,894847,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11980
114,legacy,902766,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11914
115,legacy,910685,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,12009
116,legacy,918604,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11945
117,legacy,926523,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,12030
118,legacy,934442,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11841
119,legacy,942361,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11720
120,legacy,950280,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11799
121,legacy,958199,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11885
122,legacy,966118,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11952
123,legacy,974037,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,12028
124,legacy,981956,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,12020
125,legacy,989875,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11946
126,legacy,997794,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11874
127,legacy,1005713,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11925
