trial_id,seed,algorithm,start_value,threshold,budget,final_value,distance,attempts_used,converged,rejections
0,0,random-100,100,10,20,10,0,20,1,18
1,7919,random-100,100,10,20,10,0,20,1,17
2,15838,random-100,100,10,20,10,0,19,1,17
3,23757,random-100,100,10,20,10,0,11,1,9
4,31676,random-100,100,10,20,10,0,19,1,16
5,39595,random-100,100,10,20,11,1,20,0,18
6,47514,random-100,100,10,20,10,0,20,1,17
7,55433,random-100,100,10,20,10,0,20,1,18
8,63352,random-100,100,10,20,10,0,20,1,18
9,71271,random-100,100,10,20,10,0,17,1,15
10,79190,random-100,100,10,20,10,0,16,1,14
11,87109,random-100,100,10,20,10,0,2,1,1
12,95028,random-100,100,10,20,10,0,3,1,2
13,102947,random-100,100,10,20,10,0,10,1,8
14,110866,random-100,100,10,20,10,0,20,1,18
15,118785,random-100,100,10,20,10,0,17,1,15
16,126704,random-100,100,10,20,12,2,20,0,19
17,134623,random-100,100,10,20,10,0,3,1,2
18,142542,random-100,100,10,20,10,0,17,1,15
19,150461,random-100,100,10,20,10,0,14,1,12
20,158380,random-100,100,10,20,11,1,20,0,18
21,166299,random-100,100,10,20,10,0,16,1,14
22,174218,random-100,100,10,20,10,0,20,1,18
23,182137,random-100,100,10,20,10,0,4,1,3
24,190056,random-100,100,10,20,10,0,20,1,17
25,197975,random-100,100,10,20,10,0,14,1,12
26,205894,random-100,100,10,20,10,0,11,1,9
27,213813,random-100,100,10,20,10,0,2,1,1
28,221732,random-100,100,10,20,10,0,20,1,17
29,229651,random-100,100,10,20,11,1,20,0,18
30,237570,random-100,100,10,20,10,0,16,1,14
31,245489,random-100,100,10,20,10,0,16,1,14
32,253408,random-100,100,10,20,10,0,15,1,13
33,261327,random-100,100,10,20,11,1,20,0,17
34,269246,random-100,100,10,20,10,0,12,1,10
35,277165,random-100,100,10,20,10,0,16,1,14
36,285084,random-100,100,10,20,10,0,12,1,10
37,293003,random-100,100,10,20,10,0,16,1,14
38,300922,random-100,100,10,20,10,0,16,1,14
39,308841,random-100,100,10,20,10,0,3,1,2
40,316760,random-100,100,10,20,11,1,20,0,18
41,324679,random-100,100,10,20,10,0,1,1,0
42,332598,random-100,100,10,20,11,1,20,0,19
43,340517,random-100,100,10,20,10,0,2,1,1
44,348436,random-100,100,10,20,10,0,13,1,11
45,356355,random-100,100,10,20,10,0,16,1,14
46,364274,random-100,100,10,20,10,0,4,1,3
47,372193,random-100,100,10,20,10,0,20,1,18
48,380112,random-100,100,10,20,10,0,13,1,11
49,388031,random-100,100,10,20,10,0,19,1,17
50,395950,random-100,100,10,20,10,0,17,1,15
51,403869,random-100,100,10,20,10,0,16,1,14
52,411788,random-100,100,10,20,10,0,15,1,13
