trial_id,seed,algorithm,start_value,target_value,budget,final_value,distance,attempts_used,converged,convergence_attempt
0,0,random-100,100,10,20,10,0,1,1,1
1,7919,random-100,100,10,20,10,0,2,1,2
2,15838,random-100,100,10,20,10,0,2,1,2
3,23757,random-100,100,10,20,10,0,1,1,1
4,31676,random-100,100,10,20,10,0,1,1,1
5,39595,random-100,100,10,20,10,0,2,1,2
6,47514,random-100,100,10,20,10,0,2,1,2
7,55433,random-100,100,10,20,10,0,2,1,2
8,63352,random-100,100,10,20,10,0,2,1,2
9,71271,random-100,100,10,20,10,0,2,1,2
10,79190,random-100,100,10,20,10,0,2,1,2
11,87109,random-100,100,10,20,10,0,2,1,2
12,95028,random-100,100,10,20,10,0,2,1,2
13,102947,random-100,100,10,20,10,0,1,1,1
14,110866,random-100,100,10,20,10,0,2,1,2
15,118785,random-100,100,10,20,10,0,2,1,2
16,126704,random-100,100,10,20,10,0,1,1,1
17,134623,random-100,100,10,20,10,0,2,1,2
18,142542,random-100,100,10,20,10,0,2,1,2
19,150461,random-100,100,10,20,10,0,1,1,1
20,158380,random-100,100,10,20,10,0,2,1,2
21,166299,random-100,100,10,20,10,0,2,1,2
22,174218,random-100,100,10,20,10,0,1,1,1
23,182137,random-100,100,10,20,10,0,2,1,2
24,190056,random-100,100,10,20,10,0,2,1,2
25,197975,random-100,100,10,20,10,0,2,1,2
26,205894,random-100,100,10,20,10,0,1,1,1
27,213813,random-100,100,10,20,10,0,2,1,2
28,221732,random-100,100,10,20,10,0,1,1,1
29,229651,random-100,100,10,20,10,0,2,1,2
30,237570,random-100,100,10,20,10,0,2,1,2
31,245489,random-100,100,10,20,10,0,2,1,2
32,253408,random-100,100,10,20,10,0,1,1,1
33,261327,random-100,100,10,20,10,0,1,1,1
34,269246,random-100,100,10,20,10,0,1,1,1
35,277165,random-100,100,10,20,10,0,2,1,2
36,285084,random-100,100,10,20,10,0,1,1,1
37,293003,random-100,100,10,20,10,0,2,1,2
38,300922,random-100,100,10,20,10,0,2,1,2
39,308841,random-100,100,10,20,10,0,2,1,2
40,316760,random-100,100,10,20,10,0,1,1,1
41,324679,random-100,100,10,20,10,0,2,1,2
42,332598,random-100,100,10,20,10,0,2,1,2
43,340517,random-100,100,10,20,10,0,2,1,2
44,348436,random-100,100,10,20,10,0,2,1,2
45,356355,random-100,100,10,20,10,0,2,1,2
46,364274,random-100,100,10,20,10,0,1,1,1
47,372193,random-100,100,10,20,10,0,2,1,2
48,380112,random-100,100,10,20,10,0,2,1,2
49,388031,random-100,100,10,20,10,0,1,1,1
50,395950,random-100,100,10,20,10,0,1,1,1
51,403869,random-100,100,10,20,10,0,2,1,2
52,411788,random-100,100,10,20,10,0,2,1,2
53,419707,random-100,100,10,20,10,0,2,1,2
54,427626,random-100,100,10,20,10,0,2,1,2
55,435545,random-100,100,10,20,10,0,2,1,2
56,443464,random-100,100,10,20,10,0,2,1,2
57,451383,random-100,100,10,20,10,0,1,1,1
58,459302,random-100,100,10,20,10,0,1,1,1
59,467221,random-100,100,10,20,10,0,2,1,2
60,475140,random-100,100,10,20,10,0,2,1,2
61,483059,random-100,100,10,20,10,0,2,1,2
62,490978,random-100,100,10,20,10,0,2,1,2
63,498897,random-100,100,10,20,10,0,2,1,2
64,506816,random-100,100,10,20,10,0,2,1,2
