trial_id,seed,length_distribution,bug_type,bug_detected,tests_to_detection,tests_run,elapsed_micros
0,0,uniform,empty,true,26,26,185
1,7919,uniform,empty,true,7,7,15
2,15838,uniform,empty,true,13,13,14
3,23757,uniform,empty,true,6,6,7
4,31676,uniform,empty,true,1,1,1
5,39595,uniform,empty,true,4,4,4
6,47514,uniform,empty,true,3,3,2
7,55433,uniform,empty,true,15,15,15
8,63352,uniform,empty,true,8,8,11
9,71271,uniform,empty,true,14,14,29
10,79190,uniform,empty,true,2,2,2
11,87109,uniform,empty,true,17,17,32
12,95028,uniform,empty,true,6,6,7
13,102947,uniform,empty,true,2,2,2
14,110866,uniform,empty,true,5,5,5
15,118785,uniform,empty,true,4,4,5
16,126704,uniform,empty,true,5,5,3
17,134623,uniform,empty,true,1,1,0
18,142542,uniform,empty,true,1,1,0
19,150461,uniform,empty,true,3,3,2
20,158380,uniform,empty,true,25,25,27
21,166299,uniform,empty,true,21,21,19
22,174218,uniform,empty,true,3,3,1
23,182137,uniform,empty,true,21,21,8
24,190056,uniform,empty,true,7,7,3
25,197975,uniform,empty,true,6,6,2
26,205894,uniform,empty,true,6,6,3
27,213813,uniform,empty,true,18,18,7
28,221732,uniform,empty,true,1,1,0
29,229651,uniform,empty,true,11,11,12
30,237570,uniform,empty,true,3,3,1
31,245489,uniform,empty,true,33,33,14
32,253408,uniform,empty,true,11,11,4
33,261327,uniform,empty,true,13,13,6
34,269246,uniform,empty,true,7,7,2
35,277165,uniform,empty,true,14,14,6
36,285084,uniform,empty,true,4,4,1
37,293003,uniform,empty,true,3,3,1
38,300922,uniform,empty,true,6,6,2
39,308841,uniform,empty,true,2,2,0
40,316760,uniform,empty,true,2,2,0
41,324679,uniform,empty,true,22,22,9
42,332598,uniform,empty,true,11,11,4
43,340517,uniform,empty,true,9,9,3
44,348436,uniform,empty,true,9,9,3
45,356355,uniform,empty,true,1,1,0
46,364274,uniform,empty,true,6,6,2
47,372193,uniform,empty,true,29,29,11
48,380112,uniform,empty,true,18,18,9
49,388031,uniform,empty,true,2,2,1
50,395950,uniform,empty,true,3,3,0
51,403869,uniform,empty,true,3,3,1
52,411788,uniform,empty,true,14,14,346
53,419707,uniform,empty,true,34,34,25
54,427626,uniform,empty,true,1,1,0
55,435545,uniform,empty,true,10,10,4
56,443464,uniform,empty,true,18,18,7
57,451383,uniform,empty,true,1,1,0
58,459302,uniform,empty,true,3,3,0
59,467221,uniform,empty,true,18,18,7
60,475140,uniform,empty,true,4,4,1
61,483059,uniform,empty,true,6,6,2
62,490978,uniform,empty,true,17,17,7
63,498897,uniform,empty,true,4,4,1
64,506816,uniform,empty,true,24,24,21
65,514735,uniform,empty,true,4,4,13
66,522654,uniform,empty,true,14,14,15
67,530573,uniform,empty,true,30,30,6
68,538492,uniform,empty,true,2,2,0
69,546411,uniform,empty,true,9,9,2
70,554330,uniform,empty,true,23,23,4
71,562249,uniform,empty,true,3,3,0
72,570168,uniform,empty,true,7,7,1
73,578087,uniform,empty,true,3,3,0
74,586006,uniform,empty,true,6,6,1
75,593925,uniform,empty,true,10,10,2
76,601844,uniform,empty,true,11,11,2
77,609763,uniform,empty,true,3,3,0
78,617682,uniform,empty,true,31,31,6
79,625601,uniform,empty,true,11,11,1
