trial_id,seed,map_type,base_size,reported_size,actual_distinct_values,size_ratio,elapsed_micros
0,0,bijective,100,100,100,1.000000,2231
1,7919,bijective,100,100,100,1.000000,2035
2,15838,bijective,100,100,100,1.000000,1462
3,23757,bijective,100,100,100,1.000000,998
4,31676,bijective,100,100,100,1.000000,1066
5,39595,bijective,100,100,100,1.000000,1139
6,47514,bijective,100,100,100,1.000000,946
7,55433,bijective,100,100,100,1.000000,957
8,63352,bijective,100,100,100,1.000000,1160
9,71271,bijective,100,100,100,1.000000,814
10,79190,bijective,100,100,100,1.000000,930
11,87109,bijective,100,100,100,1.000000,849
12,95028,bijective,100,100,100,1.000000,889
13,102947,bijective,100,100,100,1.000000,800
14,110866,bijective,100,100,100,1.000000,831
15,118785,bijective,100,100,100,1.000000,932
16,126704,bijective,100,100,100,1.000000,870
17,134623,bijective,100,100,100,1.000000,801
18,142542,bijective,100,100,100,1.000000,799
19,150461,bijective,100,100,100,1.000000,799
20,158380,bijective,100,100,100,1.000000,985
21,166299,bijective,100,100,100,1.000000,831
22,174218,bijective,100,100,100,1.000000,811
23,182137,bijective,100,100,100,1.000000,815
24,190056,bijective,100,100,100,1.000000,881
25,197975,bijective,100,100,100,1.000000,814
26,205894,bijective,100,100,100,1.000000,815
27,213813,bijective,100,100,100,1.000000,886
28,221732,bijective,100,100,100,1.000000,936
29,229651,bijective,100,100,100,1.000000,827
30,237570,bijective,100,100,100,1.000000,802
31,245489,bijective,100,100,100,1.000000,810
32,253408,bijective,100,100,100,1.000000,949
33,261327,bijective,100,100,100,1.000000,819
34,269246,bijective,100,100,100,1.000000,832
35,277165,bijective,100,100,100,1.000000,819
36,285084,bijective,100,100,100,1.000000,900
37,293003,bijective,100,100,100,1.000000,845
38,300922,bijective,100,100,100,1.000000,834
39,308841,bijective,100,100,100,1.000000,862
40,316760,bijective,100,100,100,1.000000,892
41,324679,bijective,100,100,100,1.000000,849
42,332598,bijective,100,100,100,1.000000,839
43,340517,bijective,100,100,100,1.000000,850
44,348436,bijective,100,100,100,1.000000,943
45,356355,bijective,100,100,100,1.000000,827
46,364274,bijective,100,100,100,1.000000,817
47,372193,bijective,100,100,100,1.000000,823
48,380112,bijective,100,100,100,1.000000,859
49,388031,bijective,100,100,100,1.000000,809
50,395950,bijective,100,100,100,1.000000,811
51,403869,bijective,100,100,100,1.000000,887
52,411788,bijective,100,100,100,1.000000,871
53,419707,bijective,100,100,100,1.000000,814
54,427626,bijective,100,100,100,1.000000,818
55,435545,bijective,100,100,100,1.000000,876
56,443464,bijective,100,100,100,1.000000,903
57,451383,bijective,100,100,100,1.000000,806
58,459302,bijective,100,100,100,1.000000,810
59,467221,bijective,100,100,100,1.000000,825
60,475140,bijective,100,100,100,1.000000,869
61,483059,bijective,100,100,100,1.000000,810
62,490978,bijective,100,100,100,1.000000,828
63,498897,bijective,100,100,100,1.000000,828
64,506816,bijective,100,100,100,1.000000,905
65,514735,bijective,100,100,100,1.000000,851
66,522654,bijective,100,100,100,1.000000,799
67,530573,bijective,100,100,100,1.000000,894
68,538492,bijective,100,100,100,1.000000,890
69,546411,bijective,100,100,100,1.000000,835
70,554330,bijective,100,100,100,1.000000,793
71,562249,bijective,100,100,100,1.000000,806
72,570168,bijective,100,100,100,1.000000,857
73,578087,bijective,100,100,100,1.000000,797
74,586006,bijective,100,100,100,1.000000,800
75,593925,bijective,100,100,100,1.000000,833
76,601844,bijective,100,100,100,1.000000,911
77,609763,bijective,100,100,100,1.000000,867
78,617682,bijective,100,100,100,1.000000,824
79,625601,bijective,100,100,100,1.000000,831
