trial_id,seed,scenario,parent_base_max,parent_true_size,parent_pass_rate,parent_est_size,parent_ci_lower,parent_ci_upper,parent_true_in_ci,parent_ci_width,shrink_value,shrunk_true_size,shrunk_pass_rate,warmup0_est_size,warmup0_ci_lower,warmup0_ci_upper,warmup0_true_in_ci,warmup0_ci_width,warmup10_est_size,warmup10_ci_lower,warmup10_ci_upper,warmup10_true_in_ci,warmup10_ci_width,warmup50_est_size,warmup50_ci_lower,warmup50_ci_upper,warmup50_true_in_ci,warmup50_ci_width,warmup100_est_size,warmup100_ci_lower,warmup100_ci_upper,warmup100_true_in_ci,warmup100_ci_width
0,0,same_pass_rate_mod2,999,500,0.5000,464,412.00,518.00,true,106.00,250,125,0.5000,120,79.00,161.00,true,82.00,103,76.00,132.00,true,56.00,107,90.00,124.00,false,34.00,117,103.00,131.00,true,28.00
1,7919,same_pass_rate_mod2,999,500,0.5000,485,430.00,539.00,true,109.00,250,125,0.5000,120,79.00,161.00,true,82.00,103,76.00,132.00,true,56.00,123,104.00,142.00,true,38.00,117,103.00,131.00,true,28.00
2,15838,same_pass_rate_mod2,999,500,0.5000,472,419.00,526.00,true,107.00,250,125,0.5000,120,79.00,161.00,true,82.00,142,108.00,173.00,true,65.00,116,98.00,134.00,true,36.00,114,100.00,127.00,true,27.00
3,23757,same_pass_rate_mod2,999,500,0.5000,478,425.00,533.00,true,108.00,250,125,0.5000,120,79.00,161.00,true,82.00,101,75.00,130.00,true,55.00,120,102.00,139.00,true,37.00,122,108.00,136.00,true,28.00
4,31676,same_pass_rate_mod2,999,500,0.5000,519,462.00,575.00,true,113.00,250,125,0.5000,120,79.00,161.00,true,82.00,119,89.00,150.00,true,61.00,134,114.00,153.00,true,39.00,139,124.00,154.00,true,30.00
5,39595,same_pass_rate_mod2,999,500,0.5000,496,440.00,551.00,true,111.00,250,125,0.5000,120,79.00,161.00,true,82.00,107,79.00,137.00,true,58.00,116,98.00,134.00,true,36.00,118,104.00,131.00,true,27.00
6,47514,same_pass_rate_mod2,999,500,0.5000,519,462.00,575.00,true,113.00,250,125,0.5000,120,79.00,161.00,true,82.00,117,87.00,147.00,true,60.00,136,116.00,155.00,true,39.00,131,116.00,145.00,true,29.00
7,55433,same_pass_rate_mod2,999,500,0.5000,555,496.00,612.00,true,116.00,250,125,0.5000,120,79.00,161.00,true,82.00,146,111.00,177.00,true,66.00,145,125.00,165.00,true,40.00,136,121.00,151.00,true,30.00
8,63352,same_pass_rate_mod2,999,500,0.5000,474,421.00,529.00,true,108.00,250,125,0.5000,120,79.00,161.00,true,82.00,128,96.00,159.00,true,63.00,127,108.00,146.00,true,38.00,115,102.00,129.00,true,27.00
9,71271,same_pass_rate_mod2,999,500,0.5000,516,460.00,572.00,true,112.00,250,125,0.5000,120,79.00,161.00,true,82.00,154,118.00,185.00,true,67.00,150,129.00,169.00,false,40.00,147,131.00,162.00,false,31.00
10,79190,same_pass_rate_mod2,999,500,0.5000,487,432.00,542.00,true,110.00,250,125,0.5000,120,79.00,161.00,true,82.00,122,91.00,153.00,true,62.00,129,110.00,148.00,true,38.00,120,106.00,134.00,true,28.00
11,87109,same_pass_rate_mod2,999,500,0.5000,464,412.00,518.00,true,106.00,250,125,0.5000,120,79.00,161.00,true,82.00,101,75.00,130.00,true,55.00,119,101.00,138.00,true,37.00,125,111.00,139.00,true,28.00
12,95028,same_pass_rate_mod2,999,500,0.5000,505,449.00,560.00,true,111.00,250,125,0.5000,120,79.00,161.00,true,82.00,114,85.00,145.00,true,60.00,120,102.00,139.00,true,37.00,124,110.00,139.00,true,29.00
13,102947,same_pass_rate_mod2,999,500,0.5000,509,453.00,565.00,true,112.00,250,125,0.5000,120,79.00,161.00,true,82.00,135,102.00,166.00,true,64.00,136,116.00,155.00,true,39.00,137,122.00,151.00,true,29.00
14,110866,same_pass_rate_mod2,999,500,0.5000,474,421.00,529.00,true,108.00,250,125,0.5000,120,79.00,161.00,true,82.00,146,111.00,177.00,true,66.00,150,129.00,169.00,false,40.00,139,124.00,154.00,true,30.00
15,118785,same_pass_rate_mod2,999,500,0.5000,487,432.00,542.00,true,110.00,250,125,0.5000,120,79.00,161.00,true,82.00,128,96.00,159.00,true,63.00,120,102.00,139.00,true,37.00,118,104.00,131.00,true,27.00
16,126704,same_pass_rate_mod2,999,500,0.5000,550,491.00,606.00,true,115.00,250,125,0.5000,120,79.00,161.00,true,82.00,109,81.00,139.00,true,58.00,134,114.00,153.00,true,39.00,129,115.00,143.00,true,28.00
17,134623,same_pass_rate_mod2,999,500,0.5000,550,491.00,606.00,true,115.00,250,125,0.5000,120,79.00,161.00,true,82.00,128,96.00,159.00,true,63.00,140,120.00,159.00,true,39.00,133,119.00,148.00,true,29.00
18,142542,same_pass_rate_mod2,999,500,0.5000,505,449.00,560.00,true,111.00,250,125,0.5000,120,79.00,161.00,true,82.00,125,94.00,156.00,true,62.00,127,108.00,146.00,true,38.00,124,110.00,139.00,true,29.00
19,150461,same_pass_rate_mod2,999,500,0.5000,519,462.00,575.00,true,113.00,250,125,0.5000,120,79.00,161.00,true,82.00,142,108.00,173.00,true,65.00,131,112.00,151.00,true,39.00,132,117.00,146.00,true,29.00
20,158380,same_pass_rate_mod2,999,500,0.5000,563,504.00,621.00,false,117.00,250,125,0.5000,120,79.00,161.00,true,82.00,117,87.00,147.00,true,60.00,137,117.00,157.00,true,40.00,136,121.00,151.00,true,30.00
21,166299,same_pass_rate_mod2,999,500,0.5000,481,427.00,535.00,true,108.00,250,125,0.5000,120,79.00,161.00,true,82.00,131,99.00,163.00,true,64.00,127,108.00,146.00,true,38.00,116,103.00,130.00,true,27.00
22,174218,same_pass_rate_mod2,999,500,0.5000,552,494.00,609.00,true,115.00,250,125,0.5000,120,79.00,161.00,true,82.00,95,70.00,124.00,false,54.00,125,106.00,144.00,true,38.00,126,111.00,140.00,true,29.00
23,182137,same_pass_rate_mod2,999,500,0.5000,521,464.00,577.00,true,113.00,250,125,0.5000,120,79.00,161.00,true,82.00,131,99.00,163.00,true,64.00,129,110.00,148.00,true,38.00,127,113.00,142.00,true,29.00
24,190056,same_pass_rate_mod2,999,500,0.5000,498,443.00,553.00,true,110.00,250,125,0.5000,120,79.00,161.00,true,82.00,122,91.00,153.00,true,62.00,123,104.00,142.00,true,38.00,120,106.00,134.00,true,28.00
25,197975,same_pass_rate_mod2,999,500,0.5000,483,428.00,537.00,true,109.00,250,125,0.5000,120,79.00,161.00,true,82.00,146,111.00,177.00,true,66.00,156,134.00,175.00,false,41.00,144,128.00,159.00,false,31.00
