trial_id,seed,quantifier_order,initial_a,initial_b,initial_c,final_a,final_b,final_c,elapsed_micros
0,0,abc,95,31,60,0,53,98,22929
1,7919,abc,74,29,58,0,53,98,24101
2,15838,abc,50,8,93,0,58,97,14805
3,23757,abc,55,28,71,0,51,100,21008
4,31676,abc,42,68,41,0,53,98,12548
5,39595,abc,44,91,16,0,54,97,25706
6,47514,abc,62,76,48,0,53,98,15479
7,55433,abc,39,68,93,0,52,99,16523
8,63352,abc,55,49,71,0,53,98,24814
9,71271,abc,59,94,43,0,53,99,19116
10,79190,abc,82,89,58,0,52,99,26006
11,87109,abc,62,88,18,0,53,99,19008
12,95028,abc,72,58,76,0,54,98,26530
13,102947,abc,24,87,87,0,53,100,25916
14,110866,abc,80,89,72,0,51,100,23273
15,118785,abc,17,70,67,0,52,99,26137
16,126704,abc,9,97,68,0,52,99,25036
17,134623,abc,53,64,38,0,55,96,23551
18,142542,abc,99,54,36,0,53,99,25265
19,150461,abc,70,65,82,0,53,99,23918
20,158380,abc,66,81,43,0,52,99,16987
21,166299,abc,76,72,80,0,56,95,23360
22,174218,abc,77,93,75,0,53,98,17169
23,182137,abc,80,10,89,0,52,99,25597
24,190056,abc,8,99,70,0,52,99,25529
25,197975,abc,94,74,80,0,52,99,25898
26,205894,abc,58,86,56,0,52,99,13407
27,213813,abc,34,34,96,0,53,99,19127
28,221732,abc,61,48,79,0,53,98,19999
29,229651,abc,66,23,65,0,51,100,20319
30,237570,abc,1,94,63,0,53,98,18507
31,245489,abc,19,79,87,0,54,97,20364
32,253408,abc,23,84,83,0,52,100,25532
33,261327,abc,25,63,77,0,52,99,12834
34,269246,abc,75,86,42,0,53,98,25533
35,277165,abc,85,10,89,0,51,100,20010
36,285084,abc,14,45,96,0,52,99,15048
37,293003,abc,31,74,98,0,53,98,25270
38,300922,abc,75,59,31,0,52,99,19118
39,308841,abc,63,27,79,0,54,97,11804
40,316760,abc,97,71,47,0,54,97,25725
41,324679,abc,5,96,76,0,51,100,25492
42,332598,abc,21,75,56,0,57,94,20198
43,340517,abc,88,78,14,0,54,97,26024
44,348436,abc,1,62,89,0,54,97,16829
45,356355,abc,84,18,54,0,52,99,24027
46,364274,abc,92,3,93,0,54,97,20559
47,372193,abc,80,29,65,0,52,99,20793
48,380112,abc,79,78,75,0,56,96,15034
49,388031,abc,0,0,0,0,52,99,25734
50,395950,abc,83,75,94,0,55,96,12023
51,403869,abc,54,67,54,0,53,98,15922
52,411788,abc,84,43,51,0,53,98,13564
53,419707,abc,56,55,54,0,51,100,18841
54,427626,abc,17,47,99,0,52,99,22407
55,435545,abc,5,69,96,0,51,100,11444
56,443464,abc,32,92,35,0,55,97,20984
57,451383,abc,54,54,65,0,51,100,16919
58,459302,abc,46,6,99,0,51,100,21949
59,467221,abc,69,39,49,0,53,99,14293
60,475140,abc,5,88,69,0,52,99,25271
61,483059,abc,73,84,27,0,52,99,25917
62,490978,abc,83,74,34,0,54,97,14260
63,498897,abc,87,41,80,0,55,97,12982
64,506816,abc,32,73,87,0,54,97,25263
65,514735,abc,37,70,46,0,52,100,25377
66,522654,abc,45,97,43,0,56,95,14373
67,530573,abc,65,47,84,0,52,99,24255
68,538492,abc,51,80,37,0,52,100,17893
69,546411,abc,6,70,87,0,51,100,14160
70,554330,abc,54,50,68,0,53,98,18574
71,562249,abc,95,38,83,0,52,99,25519
72,570168,abc,85,12,63,0,57,95,15075
73,578087,abc,90,97,2,0,51,100,23094
74,586006,abc,9,57,95,0,52,100,18842
75,593925,abc,2,65,99,0,53,100,14184
76,601844,abc,27,98,30,0,52,99,13229
77,609763,abc,45,82,88,0,54,99,14654
78,617682,abc,24,75,54,0,52,100,12905
79,625601,abc,78,0,79,0,51,100,11651
80,633520,abc,91,56,67,0,54,97,21140
81,641439,abc,48,49,80,0,55,99,25422
82,649358,abc,65,26,84,0,53,99,25413
83,657277,abc,42,19,94,0,54,97,25572
84,665196,abc,53,68,52,0,51,100,16851
85,673115,abc,79,12,65,0,55,96,21374
86,681034,abc,73,25,70,0,52,99,22160
87,688953,abc,79,76,25,0,52,99,21083
88,696872,abc,16,83,61,0,54,97,26250
89,704791,abc,26,81,54,0,55,96,19158
90,712710,abc,73,16,95,0,54,98,23871
91,720629,abc,49,52,61,0,52,99,21304
92,728548,abc,55,85,94,0,53,98,14724
93,736467,abc,74,68,43,0,52,99,17507
94,744386,abc,100,65,4,0,53,100,21760
95,752305,abc,77,67,46,0,52,99,18684
96,760224,abc,24,88,53,0,55,96,20754
97,768143,abc,86,1,76,0,52,99,17294
98,776062,abc,89,68,90,0,52,99,14771
99,783981,abc,65,35,57,0,54,97,13906
100,791900,abc,17,63,74,0,54,97,27700
101,799819,abc,84,88,96,0,52,99,18653
102,807738,abc,100,79,87,0,52,100,25841
103,815657,abc,39,81,73,0,53,99,24178
104,823576,abc,67,22,91,0,52,99,24882
105,831495,abc,61,45,62,0,54,98,21596
106,839414,abc,75,8,71,0,55,96,26506
107,847333,abc,95,98,51,0,51,100,11639
108,855252,abc,33,92,59,0,53,98,20470
109,863171,abc,50,23,79,0,53,98,21292
110,871090,abc,93,38,64,0,54,98,25090
111,879009,abc,61,26,89,0,53,98,11854
112,886928,abc,57,76,69,0,52,100,19119
113,894847,abc,40,30,93,0,52,99,18482
114,902766,abc,53,99,53,0,52,99,24018
