trial_id,seed,strategy,quantifier_order,budget,final_pos1,distance_pos1,optimal_pos1,final_pos2,distance_pos2,optimal_pos2,final_pos3,distance_pos3,optimal_pos3,final_pos4,distance_pos4,optimal_pos4,final_pos5,distance_pos5,optimal_pos5,variance,mean_distance,total_distance,attempts,rounds,elapsed_micros
0,0,sequential-exhaustive,abcde,100,10,0,1,2471412,2471402,0,3275105,3275095,0,6875849,6875839,0,9155522,9155512,0,10615940867694.64,4355569.6,21777848,0,0,10371
1,7919,sequential-exhaustive,abcde,100,10,0,1,1863276,1863266,0,5095731,5095721,0,7127174,7127164,0,940386,940376,0,7191920732904.641,3005305.4,15026527,0,0,6238
2,15838,sequential-exhaustive,abcde,100,10,0,1,8820293,8820283,0,4767441,4767431,0,2782260,2782250,0,5203424,5203414,0,8452019038313.841,4314675.6,21573378,0,0,4886
3,23757,sequential-exhaustive,abcde,100,10,0,1,3464822,3464812,0,3842961,3842951,0,3454375,3454365,0,1039045,1039035,0,2386387247536.24,2360232.6,11801163,0,0,4906
4,31676,sequential-exhaustive,abcde,100,10,0,1,2451813,2451803,0,720432,720422,0,3593328,3593318,0,4333157,4333147,0,2716451807681.2,2219738,11098690,0,0,4549
5,39595,sequential-exhaustive,abcde,100,10,0,1,3873040,3873030,0,188469,188459,0,6928441,6928431,0,144996,144986,0,7652565782354.159,2226981.2,11134906,0,0,4756
6,47514,sequential-exhaustive,abcde,100,10,0,1,5846313,5846303,0,2094896,2094886,0,7232709,7232699,0,124472,124462,0,8817465838070,3059670,15298350,0,0,4510
7,55433,sequential-exhaustive,abcde,100,10,0,1,2937911,2937901,0,2047239,2047229,0,1656878,1656868,0,3679127,3679117,0,1559687872942,2064223,10321115,0,0,4201
8,63352,sequential-exhaustive,abcde,100,10,0,1,6190491,6190481,0,3552688,3552678,0,3005907,3005897,0,2811765,2811755,0,3891438228426.96,3112162.2,15560811,0,0,4212
9,71271,sequential-exhaustive,abcde,100,10,0,1,475121,475111,0,6653871,6653861,0,3101767,3101757,0,6232582,6232572,0,7751478185710.959,3292660.2,16463301,0,0,4060
10,79190,sequential-exhaustive,abcde,100,10,0,1,734455,734445,0,8649490,8649480,0,2545513,2545503,0,7174317,7174307,0,12062528398327.6,3820747,19103735,0,0,4138
11,87109,sequential-exhaustive,abcde,100,10,0,1,5890311,5890301,0,4855919,4855909,0,9109229,9109219,0,3008835,3008825,0,9150314912432.959,4572850.8,22864254,0,0,4164
