trial_id,seed,scenario,warm_start_scale,shrunk_size,true_size,estimated_size,ci_lower,ci_upper,true_in_ci,ci_width,relative_error
0,0,subset,0,25,25,25,19,25,true,6,0.0000
1,7919,subset,0,25,25,25,19,25,true,6,0.0000
2,15838,subset,0,25,25,25,19,25,true,6,0.0000
3,23757,subset,0,25,25,25,19,25,true,6,0.0000
4,31676,subset,0,25,25,25,19,25,true,6,0.0000
5,39595,subset,0,25,25,25,19,25,true,6,0.0000
6,47514,subset,0,25,25,25,19,25,true,6,0.0000
7,55433,subset,0,25,25,25,19,25,true,6,0.0000
8,63352,subset,0,25,25,25,19,25,true,6,0.0000
9,71271,subset,0,25,25,25,19,25,true,6,0.0000
10,79190,subset,0,25,25,25,19,25,true,6,0.0000
11,87109,subset,0,25,25,25,19,25,true,6,0.0000
12,95028,subset,0,25,25,25,19,25,true,6,0.0000
13,102947,subset,0,25,25,25,19,25,true,6,0.0000
14,110866,subset,0,25,25,25,19,25,true,6,0.0000
15,118785,subset,0,25,25,25,19,25,true,6,0.0000
16,126704,subset,0,25,25,25,19,25,true,6,0.0000
17,134623,subset,0,25,25,25,19,25,true,6,0.0000
18,142542,subset,0,25,25,25,19,25,true,6,0.0000
19,150461,subset,0,25,25,25,19,25,true,6,0.0000
20,158380,subset,0,25,25,25,19,25,true,6,0.0000
21,166299,subset,0,25,25,25,19,25,true,6,0.0000
22,174218,subset,0,25,25,25,19,25,true,6,0.0000
23,182137,subset,0,25,25,25,19,25,true,6,0.0000
24,190056,subset,0,25,25,25,19,25,true,6,0.0000
25,197975,subset,0,25,25,25,19,25,true,6,0.0000
26,205894,subset,0,25,25,25,19,25,true,6,0.0000
27,213813,subset,0,25,25,25,19,25,true,6,0.0000
28,221732,subset,0,25,25,25,19,25,true,6,0.0000
29,229651,subset,0,25,25,25,19,25,true,6,0.0000
30,237570,subset,0,25,25,25,19,25,true,6,0.0000
31,245489,subset,0,25,25,25,19,25,true,6,0.0000
32,253408,subset,0,25,25,25,19,25,true,6,0.0000
33,261327,subset,0,25,25,25,19,25,true,6,0.0000
34,269246,subset,0,25,25,25,19,25,true,6,0.0000
35,277165,subset,0,25,25,25,19,25,true,6,0.0000
36,285084,subset,0,25,25,25,19,25,true,6,0.0000
37,293003,subset,0,25,25,25,19,25,true,6,0.0000
38,300922,subset,0,25,25,25,19,25,true,6,0.0000
39,308841,subset,0,25,25,25,19,25,true,6,0.0000
40,316760,subset,0,25,25,25,19,25,true,6,0.0000
41,324679,subset,0,25,25,25,19,25,true,6,0.0000
42,332598,subset,0,25,25,25,19,25,true,6,0.0000
43,340517,subset,0,25,25,25,19,25,true,6,0.0000
44,348436,subset,0,25,25,25,19,25,true,6,0.0000
45,356355,subset,0,25,25,25,19,25,true,6,0.0000
46,364274,subset,0,25,25,25,19,25,true,6,0.0000
47,372193,subset,0,25,25,25,19,25,true,6,0.0000
48,380112,subset,0,25,25,25,19,25,true,6,0.0000
49,388031,subset,0,25,25,25,19,25,true,6,0.0000
50,395950,subset,0,25,25,25,19,25,true,6,0.0000
51,403869,subset,0,25,25,25,19,25,true,6,0.0000
52,411788,subset,0,25,25,25,19,25,true,6,0.0000
53,419707,subset,0,25,25,25,19,25,true,6,0.0000
54,427626,subset,0,25,25,25,19,25,true,6,0.0000
55,435545,subset,0,25,25,25,19,25,true,6,0.0000
56,443464,subset,0,25,25,25,19,25,true,6,0.0000
57,451383,subset,0,25,25,25,19,25,true,6,0.0000
58,459302,subset,0,25,25,25,19,25,true,6,0.0000
59,467221,subset,0,25,25,25,19,25,true,6,0.0000
60,475140,subset,0,25,25,25,19,25,true,6,0.0000
61,483059,subset,0,25,25,25,19,25,true,6,0.0000
62,490978,subset,0,25,25,25,19,25,true,6,0.0000
63,498897,subset,0,25,25,25,19,25,true,6,0.0000
64,506816,subset,0,25,25,25,19,25,true,6,0.0000
65,514735,subset,0,25,25,25,19,25,true,6,0.0000
66,522654,subset,0,25,25,25,19,25,true,6,0.0000
