trial_id,seed,union_type,branch_sizes,branch0_count,branch1_count,samples_per_trial,expected_p0,elapsed_micros
0,0,exact_11_vs_2,"[11,2]",8484,1516,10000,0.846154,2434
1,7919,exact_11_vs_2,"[11,2]",8477,1523,10000,0.846154,2051
2,15838,exact_11_vs_2,"[11,2]",8503,1497,10000,0.846154,1268
3,23757,exact_11_vs_2,"[11,2]",8470,1530,10000,0.846154,1260
4,31676,exact_11_vs_2,"[11,2]",8478,1522,10000,0.846154,1192
5,39595,exact_11_vs_2,"[11,2]",8481,1519,10000,0.846154,645
6,47514,exact_11_vs_2,"[11,2]",8441,1559,10000,0.846154,523
7,55433,exact_11_vs_2,"[11,2]",8437,1563,10000,0.846154,601
8,63352,exact_11_vs_2,"[11,2]",8443,1557,10000,0.846154,689
9,71271,exact_11_vs_2,"[11,2]",8449,1551,10000,0.846154,519
10,79190,exact_11_vs_2,"[11,2]",8452,1548,10000,0.846154,580
11,87109,exact_11_vs_2,"[11,2]",8490,1510,10000,0.846154,509
12,95028,exact_11_vs_2,"[11,2]",8537,1463,10000,0.846154,567
13,102947,exact_11_vs_2,"[11,2]",8493,1507,10000,0.846154,568
14,110866,exact_11_vs_2,"[11,2]",8476,1524,10000,0.846154,531
15,118785,exact_11_vs_2,"[11,2]",8397,1603,10000,0.846154,557
16,126704,exact_11_vs_2,"[11,2]",8477,1523,10000,0.846154,553
17,134623,exact_11_vs_2,"[11,2]",8455,1545,10000,0.846154,507
18,142542,exact_11_vs_2,"[11,2]",8458,1542,10000,0.846154,556
19,150461,exact_11_vs_2,"[11,2]",8448,1552,10000,0.846154,588
20,0,exact_100_vs_10,"[100,10]",9099,901,10000,0.909091,487
21,7919,exact_100_vs_10,"[100,10]",9094,906,10000,0.909091,533
22,15838,exact_100_vs_10,"[100,10]",9112,888,10000,0.909091,476
23,23757,exact_100_vs_10,"[100,10]",9090,910,10000,0.909091,566
24,31676,exact_100_vs_10,"[100,10]",9116,884,10000,0.909091,532
25,39595,exact_100_vs_10,"[100,10]",9076,924,10000,0.909091,475
26,47514,exact_100_vs_10,"[100,10]",9056,944,10000,0.909091,525
27,55433,exact_100_vs_10,"[100,10]",9070,930,10000,0.909091,525
28,63352,exact_100_vs_10,"[100,10]",9084,916,10000,0.909091,474
29,71271,exact_100_vs_10,"[100,10]",9098,902,10000,0.909091,529
30,79190,exact_100_vs_10,"[100,10]",9077,923,10000,0.909091,540
31,87109,exact_100_vs_10,"[100,10]",9106,894,10000,0.909091,474
32,95028,exact_100_vs_10,"[100,10]",9141,859,10000,0.909091,519
33,102947,exact_100_vs_10,"[100,10]",9155,845,10000,0.909091,594
34,110866,exact_100_vs_10,"[100,10]",9106,894,10000,0.909091,395
35,118785,exact_100_vs_10,"[100,10]",9013,987,10000,0.909091,450
36,126704,exact_100_vs_10,"[100,10]",9080,920,10000,0.909091,413
37,134623,exact_100_vs_10,"[100,10]",9092,908,10000,0.909091,450
38,142542,exact_100_vs_10,"[100,10]",9100,900,10000,0.909091,422
39,150461,exact_100_vs_10,"[100,10]",9051,949,10000,0.909091,396
40,0,exact_50_vs_50,"[50,50]",4995,5005,10000,0.500000,539
41,7919,exact_50_vs_50,"[50,50]",4976,5024,10000,0.500000,479
42,15838,exact_50_vs_50,"[50,50]",5008,4992,10000,0.500000,539
43,23757,exact_50_vs_50,"[50,50]",5053,4947,10000,0.500000,474
44,31676,exact_50_vs_50,"[50,50]",4954,5046,10000,0.500000,573
45,39595,exact_50_vs_50,"[50,50]",4969,5031,10000,0.500000,501
46,47514,exact_50_vs_50,"[50,50]",4997,5003,10000,0.500000,576
47,55433,exact_50_vs_50,"[50,50]",5033,4967,10000,0.500000,503
48,63352,exact_50_vs_50,"[50,50]",4982,5018,10000,0.500000,529
49,71271,exact_50_vs_50,"[50,50]",4928,5072,10000,0.500000,475
50,79190,exact_50_vs_50,"[50,50]",4955,5045,10000,0.500000,534
51,87109,exact_50_vs_50,"[50,50]",4993,5007,10000,0.500000,479
52,95028,exact_50_vs_50,"[50,50]",5079,4921,10000,0.500000,523
53,102947,exact_50_vs_50,"[50,50]",5094,4906,10000,0.500000,477
54,110866,exact_50_vs_50,"[50,50]",4989,5011,10000,0.500000,520
55,118785,exact_50_vs_50,"[50,50]",4983,5017,10000,0.500000,481
56,126704,exact_50_vs_50,"[50,50]",4957,5043,10000,0.500000,526
57,134623,exact_50_vs_50,"[50,50]",4986,5014,10000,0.500000,474
58,142542,exact_50_vs_50,"[50,50]",5022,4978,10000,0.500000,537
59,150461,exact_50_vs_50,"[50,50]",5031,4969,10000,0.500000,478
60,0,exact_1_vs_99,"[1,99]",107,9893,10000,0.010000,1827
61,7919,exact_1_vs_99,"[1,99]",97,9903,10000,0.010000,1245
62,15838,exact_1_vs_99,"[1,99]",89,9911,10000,0.010000,1056
63,23757,exact_1_vs_99,"[1,99]",97,9903,10000,0.010000,1000
64,31676,exact_1_vs_99,"[1,99]",105,9895,10000,0.010000,1034
65,39595,exact_1_vs_99,"[1,99]",103,9897,10000,0.010000,797
66,47514,exact_1_vs_99,"[1,99]",104,9896,10000,0.010000,695
67,55433,exact_1_vs_99,"[1,99]",87,9913,10000,0.010000,618
68,63352,exact_1_vs_99,"[1,99]",99,9901,10000,0.010000,626
69,71271,exact_1_vs_99,"[1,99]",79,9921,10000,0.010000,601
70,79190,exact_1_vs_99,"[1,99]",102,9898,10000,0.010000,545
71,87109,exact_1_vs_99,"[1,99]",100,9900,10000,0.010000,599
72,95028,exact_1_vs_99,"[1,99]",113,9887,10000,0.010000,671
73,102947,exact_1_vs_99,"[1,99]",112,9888,10000,0.010000,609
74,110866,exact_1_vs_99,"[1,99]",104,9896,10000,0.010000,587
75,118785,exact_1_vs_99,"[1,99]",94,9906,10000,0.010000,602
76,126704,exact_1_vs_99,"[1,99]",97,9903,10000,0.010000,551
77,134623,exact_1_vs_99,"[1,99]",105,9895,10000,0.010000,610
78,142542,exact_1_vs_99,"[1,99]",83,9917,10000,0.010000,592
79,150461,exact_1_vs_99,"[1,99]",111,9889,10000,0.010000,604
